report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2009-000022676 Selkirk Metals Corp-f1-01483120_1-1-1,2004-08-01,FS,2425.082,2314.8641370836003,2162.748292126411,4046.510802463881,1346.7986536016465,5114.323674276588
2005-000002331 European Minerals Corporation-f1-00733423_1-1-1,2004-11-01,FS,2204.62,2314.8641370836003,2162.748292126411,4046.510802463881,1346.7986536016465,5114.323674276588
2005-000022474 African Copper PLC-f1-00807100_1-1-1,2005-05-05,FS,2425.082,2314.8641370836003,2162.748292126411,4046.510802463881,1346.7986536016465,5114.323674276588
2005-000005784 Tiberon Minerals Ltd-f1-00805816_1-2-1,2005-07-01,FS,2204.62,2314.8641370836003,2162.748292126411,4046.510802463881,1346.7986536016465,5114.323674276588
2006-000020574 Marathon PGM Corporation-f1-01001255_1-14-1,2006-06-30,PEA,4254.9166,3627.2888437499996,2598.1647793041348,4712.474207799105,1640.215573894695,5868.834430884635
2006-000002503 Bema Gold Corporation-f1-00972395_1-2-1,2006-08-22,FS,3306.93,3627.2888437499996,2768.2520336301886,4971.600899674042,1756.6572418697529,6163.354973957461
2006-000020335 Quadra Mining Ltd-f1-01007495_1-5-1,2006-09-01,FS,2645.544,3627.2888437499996,2768.2520336301886,4971.600899674042,1756.6572418697529,6163.354973957461
2007-000024893 Victory Nickel Inc-f1-01128347_2-1-1,2006-11-24,PEA,4100.5932,3688.2603656249994,2768.2520336301886,4971.600899674042,1756.6572418697529,6163.35497395746
2008-000025806 Lundin Mining Corporation-f1-01228613_1-1-1,2007-04-12,FS,2314.851,3854.64028125,2926.971418369192,5088.618879139448,1886.87554728526,6210.1704688257705
2007-000025328 OceanaGold Corporation-f1-01104368_1-1-2,2007-05-09,FS,4188.777999999999,3854.64028125,2926.971418369192,5088.618879139448,1886.87554728526,6210.1704688257705
2007-000014497 European Goldfields Limited-f1-01114334_1-1-1,2007-05-25,PFS,2425.082,3854.64028125,2980.1399390942224,5137.725704268289,1932.7577746728202,6247.929305020953
2007-000023797 Platmin Limited-f1-01150724_1-2-1,2007-08-07,FS,3747.854,4104.7268625,3015.4116637392663,5187.676099983593,1961.7062450566577,6306.235117545312
