date,copper_price,copper_price_quarterly,copper_price_yearly,copper_price_3y,copper_price_5y,copper_price_price_floor,copper_price_floor_spot_3y,copper_price_floor_spot_5y
2006-01-01,4743.85714285714,4533.013744588744,3807.8078192640683,2859.040175911891,2341.2368494361813,2341.2368494361813,2859.040175911891,2341.2368494361813
2006-02-01,4974.975,4765.285714285714,3951.7974025974017,2950.507675911891,2394.717682769515,2394.717682769515,2950.507675911891,2394.717682769515
2006-03-01,5123.67391304348,4947.50201863354,4097.194831858961,3046.8404830202417,2451.0762631384214,2451.0762631384214,3046.8404830202417,2451.0762631384214
2006-04-01,6404.44444444444,5501.03111916264,4348.414408578538,3180.634287032587,2530.0508001754583,2530.0508001754583,3180.634287032587,2530.0508001754583
2006-05-01,8059.19047619048,6529.102944559466,4749.855281594411,3358.6368002601002,2636.289808111966,2636.289808111966,3358.6368002601002,2636.289808111966
2006-06-01,7222.77272727273,7228.80254930255,5057.6090694732,3512.4608442716444,2729.828202772861,2729.828202772861,3512.4608442716444,2729.828202772861
2006-07-01,7726.7380952381,7669.567099567103,5400.797561536693,3679.5139556127997,2833.160996784405,2833.160996784405,3679.5139556127997,2833.160996784405
2006-08-01,7690.25,7546.5869408369435,5725.659303960935,3844.334094501688,2936.8916407237994,2936.8916407237994,3844.334094501688,2936.8916407237994
2006-09-01,7622.64285714286,7679.876984126987,6039.991284480416,4006.36110568495,3040.1407322024957,3040.1407322024957,4006.36110568495,3040.1407322024957
2006-10-01,7497.40909090909,7603.433982683983,6326.761486500617,4161.134063524212,3142.141282268372,3142.141282268372,4161.134063524212,3142.141282268372
2006-11-01,7029.29545454545,7383.115800865799,6556.022850136981,4299.356853928252,3235.39132014716,3235.39132014716,4299.356853928252,3235.39132014716
2006-12-01,6680.97368421053,7069.226076555024,6731.351907154526,4423.771797537275,3322.1934305702766,3322.1934305702766,4423.771797537275,3322.1934305702766
2007-01-01,5689.34090909091,6466.5366826156305,6810.142221007339,4514.545817498795,3391.8786578430036,3391.8786578430036,4514.545817498795,3391.8786578430036
2007-02-01,5718.15,6029.488197767147,6872.073471007338,4596.946720276573,3461.158366176337,3461.158366176337,4596.946720276573,3461.158366176337
2007-03-01,6465.29545454545,5957.595454545454,6983.8752661325025,4693.197077105734,3542.1234154187614,3542.1234154187614,4693.197077105734,3542.1234154187614
2007-04-01,7753.34210526316,6645.595853269537,7096.283404534064,4827.262830029711,3644.869593363624,3644.869593363624,4827.262830029711,3644.869593363624
2007-05-01,7677.95238095238,7298.863313586997,7064.5135632642205,4964.748714880727,3746.2184209249513,3746.2184209249513,4964.748714880727,3746.2184209249513
2007-06-01,7514.2380952381,7648.510860484547,7088.802343928003,5098.781843788855,3843.9458151048457,3843.9458151048457,5098.781843788855,3843.9458151048457
2007-07-01,7980.93181818182,7724.3740981241,7109.985154173312,5242.230076112089,3950.4899323643976,3950.4899323643976,5242.230076112089,3950.4899323643976
2007-08-01,7500.20454545455,7665.124819624823,7094.148032961191,5371.563469570483,4050.7780636775283,4050.7780636775283,5371.563469570483,4050.7780636775283
2007-09-01,7671.35,7717.495454545457,7098.206961532621,5504.012901388664,4153.985008121973,4153.985008121973,5504.012901388664,4153.985008121973
2007-10-01,8020.58695652174,7730.713833992097,7141.805117000341,5643.212406794692,4262.891928411828,4262.891928411828,5643.212406794692,4262.891928411828
2007-11-01,6957.43181818182,7549.789591567853,7135.816480636705,5749.521371441156,4352.49853014343,4352.49853014343,5749.521371441156,4352.49853014343
2007-12-01,6630.73611111111,7202.918295271556,7131.630016211752,5846.492215797417,4436.461393900044,4436.461393900044,5846.492215797417,4436.461393900044
2008-01-01,7078.90909090909,6889.025673400673,7247.4273646966,5955.125801656003,4526.938022687923,4526.938022687923,5955.125801656003,4526.938022687923
2008-02-01,7941.14285714286,7216.929353054354,7432.676769458507,6085.515881021082,4631.254653640304,4631.254653640304,6085.515881021082,4631.254653640304
2008-03-01,8434.31578947368,7818.12257917521,7596.761797369193,6225.943965120219,4744.231702512483,4744.231702512483,6225.943965120219,4744.231702512483
2008-04-01,8714.18181818182,8363.21348826612,7676.831773445748,6373.84319551945,4863.0036078155135,4863.0036078155135,6373.84319551945,4863.0036078155135
2008-05-01,8356.125,8501.5408692185,7733.346158366384,6515.905001075005,4974.754024482181,4974.754024482181,6515.905001075005,4974.754024482181
2008-06-01,8292.0,8454.102272727274,7798.159650429875,6648.1903546103595,5084.868905434561,5084.868905434561,6648.1903546103595,5084.868905434561
2008-07-01,8407.02173913043,8351.715579710144,7833.667143842257,6781.483286517421,5196.438832970794,5196.438832970794,6781.483286517421,5196.438832970794
2008-08-01,7633.8,8110.9405797101435,7844.800098387713,6888.202478436612,5294.390082970794,5294.390082970794,6888.202478436612,5294.390082970794
2008-09-01,6975.11363636364,7671.978458498023,7786.780401418016,6974.992882477017,5380.814136001097,5380.814136001097,6974.992882477017,5380.814136001097
2008-10-01,4894.89130434783,6501.26831357049,7526.305763736857,6998.290789079272,5430.3026142619665,4894.89130434783,4894.89130434783,4894.89130434783
2008-11-01,3729.1875,5199.730813570491,7257.285403888372,6983.0415782206865,5458.234489261967,3729.1875,3729.1875,3729.1875
2008-12-01,3105.09523809524,3909.724680814357,6963.481997803716,6942.154640389998,5473.285481325459,3105.09523809524,3105.09523809524,3105.09523809524
2009-01-01,3260.35714285714,3364.87996031746,6645.269335466054,6900.946307056664,5487.2668305318075,3260.35714285714,3260.35714285714,3260.35714285714
2009-02-01,3328.4125,3231.2882936507935,6260.875139037482,6855.208459834442,5496.878413865142,3328.4125,3328.4125,3328.4125
2009-03-01,3770.875,3453.21488095238,5872.255073248009,6817.630712249902,5509.72162038688,3770.875,3770.875,3770.875
2009-04-01,4436.925,3845.4041666666667,5515.81700506619,6762.977394348667,5534.887453720215,4436.925,4436.925,4436.925
2009-05-01,4591.46052631579,4266.420175438597,5202.094965592506,6666.651562407704,5565.937453720214,4591.46052631579,4591.46052631579,4591.46052631579
2009-06-01,5015.43181818182,4681.27244816587,4929.047617107658,6605.336537155178,5604.71055978082,5015.43181818182,5015.43181818182,5015.43181818182
2009-07-01,5228.41304347826,4945.101795991956,4664.163559136643,6535.938619050738,5644.904186263034,5228.41304347826,5228.41304347826,5228.41304347826
2009-08-01,6176.875,5473.573287220027,4542.753142469976,6493.900424606294,5700.448729913827,5700.448729913827,6176.875,5700.448729913827
2009-09-01,6195.75,5867.01268115942,4477.806172773006,6454.264511907881,5755.325055671403,5755.325055671403,6195.75,5755.325055671403
2009-10-01,6305.98863636364,6226.204545454547,4595.397617107657,6421.169499281618,5810.268120245718,5810.268120245718,6305.98863636364,5810.268120245718
2009-11-01,6682.44047619048,6394.726370851374,4841.502031790197,6411.534638771758,5869.470310000408,5869.470310000408,6411.534638771758,5869.470310000408
2009-12-01,6976.97619047619,6655.135101010103,5164.158777821943,6419.756930612471,5933.4234846035815,5933.4234846035815,6419.756930612471,5933.4234846035815
2010-01-01,7367.375,7008.9305555555575,5506.410265917181,6466.368988693279,6003.4114012702485,6003.4114012702485,6466.368988693279,6003.4114012702485
2010-02-01,6867.675,7070.675396825397,5801.348807583848,6498.300238693279,6063.754317936916,6063.754317936916,6498.300238693279,6063.754317936916
2010-03-01,7466.9347826087,7233.994927536233,6109.353789467907,6526.123553361704,6131.888151615315,6131.888151615315,6526.123553361704,6131.888151615315
2010-04-01,7729.8375,7354.8157608695665,6383.763164467906,6525.470647659949,6204.221951218488,6204.221951218488,6525.470647659949,6204.221951218488
2010-05-01,6843.15789473684,7346.643392448514,6571.404611836327,6502.281911931739,6264.24291613077,6264.24291613077,6502.281911931739,6264.24291613077
2010-06-01,6501.5,7024.831798245614,6695.243626987842,6474.150298175125,6313.772461585316,6313.772461585316,6474.150298175125,6313.772461585316
2010-07-01,6750.56818181818,6698.408692185007,6822.08988851617,6439.973530498357,6366.140661441014,6366.140661441014,6439.973530498357,6366.140661441014
2010-08-01,7302.66666666667,6851.578282828283,6915.905860738392,6434.486367198693,6424.653287703642,6424.653287703642,6434.486367198693,6424.653287703642
2010-09-01,7729.59090909091,7260.94191919192,7043.725936495967,6436.104170228997,6489.3021513400045,6436.104170228997,6436.104170228997,6489.3021513400045
2010-10-01,8289.7619047619,7774.006493506492,7209.040375529155,6443.581252124557,6559.862071974926,6443.581252124557,6443.581252124557,6559.862071974926
2010-11-01,8458.42045454545,8159.2577561327535,7357.038707058736,6485.275380912435,6629.5330947021985,6485.275380912435,6485.275380912435,6629.5330947021985
2010-12-01,9152.85714285714,8633.679834054828,7538.362119757149,6555.334298460937,6705.796963749818,6555.334298460937,6555.334298460937,6705.796963749818
2011-01-01,9533.2,9048.159199134197,7718.847536423815,6623.509045935683,6785.619344702198,6623.509045935683,6623.509045935683,6785.619344702198
2011-02-01,9880.9375,9522.331547619047,7969.952744757149,6677.392230459493,6867.385386368865,6677.392230459493,6677.392230459493,6867.385386368865
2011-03-01,9503.35869565217,9639.165398550724,8139.654737510772,6707.0878667422285,6940.380132745676,6707.0878667422285,6707.0878667422285,6940.380132745676
2011-04-01,9482.75,9622.348731884056,8285.730779177438,6728.436982903844,6991.6852253382685,6728.436982903844,6728.436982903844,6991.6852253382685
2011-05-01,8931.675,9305.927898550724,8459.773871282703,6744.424482903845,7006.226634068428,6744.424482903845,6744.424482903845,7006.226634068428
2011-06-01,9066.85227272727,9160.425757575757,8673.553227343307,6765.948157146269,7036.961293159337,6765.948157146269,6765.948157146269,7036.961293159337
2011-07-01,9650.46428571429,9216.33051948052,8915.211236001316,6800.48822788471,7069.023396333941,6800.48822788471,6800.48822788471,7069.023396333941
2011-08-01,8997.98863636364,9238.435064935067,9056.488066809397,6838.382356672589,7090.819040273334,6838.382356672589,6838.382356672589,7090.819040273334
2011-09-01,8300.13636363636,8982.863095238097,9104.033521354851,6875.188543541275,7102.110598714892,6875.188543541275,6875.188543541275,7102.110598714892
2011-10-01,7394.19047619048,8230.771825396827,9029.4025689739,6944.613520536904,7100.390288469583,6944.613520536904,6944.613520536904,7100.390288469583
2011-11-01,7581.02272727273,7758.449855699856,8956.286091701173,7051.608943516702,7109.585743015036,7051.608943516702,7051.608943516702,7109.585743015036
2011-12-01,7558.875,7511.362734487736,8823.454246463078,7175.325048014057,7124.217431611528,7124.217431611528,7175.325048014057,7124.217431611528
2012-01-01,8061.91666666667,7733.938131313133,8700.847302018634,7308.701701453211,7163.760360904457,7163.760360904457,7308.701701453211,7163.760360904457
2012-02-01,8441.4880952381,8020.759920634923,8580.893184955143,7450.731579098713,7209.149329158426,7209.149329158426,7450.731579098713,7209.149329158426
2012-03-01,8470.78409090909,8324.72961760462,8494.845301226553,7581.284609401744,7242.574139764486,7242.574139764486,7581.284609401744,7242.574139764486
2012-04-01,8285.52631578947,8399.26616731222,8395.076660875675,7688.190201507006,7251.443876606591,7251.443876606591,7688.190201507006,7251.443876606591
2012-05-01,7896.90909090909,8217.739832535883,8308.846168451431,7780.008217190155,7255.09315510587,7255.09315510587,7780.008217190155,7255.09315510587
2012-06-01,7428.28947368421,7870.241626794256,8172.299268531177,7847.03204095411,7253.660678079972,7253.660678079972,7428.28947368421,7253.660678079972
2012-07-01,7584.26136363636,7636.486642743221,8000.11569169135,7912.472272069612,7247.049503837548,7247.049503837548,7584.26136363636,7247.049503837548
2012-08-01,7510.43181818182,7507.660885167464,7876.1526235095325,7949.515517019107,7247.219958383002,7247.219958383002,7510.43181818182,7247.219958383002
2012-09-01,8087.7425,7727.4785606060605,7858.453134873169,8002.070864241329,7254.1598333830025,7254.1598333830025,8002.070864241329,7254.1598333830025
2012-10-01,8062.03260869565,7886.73564229249,7914.106645915267,8050.849863472773,7254.850594252567,7254.850594252567,8050.849863472773,7254.850594252567
