report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2001-000004187 Manhattan Minerals Corp-f1-00403738_1-3-1,2001,2001-01-01,Manhattan Minerals Corp,PFS,2,zinc_concentrate,zinc,190,,,,,,52,,,8,,85,,
2006-000002178 Silver Standard Resources Inc-f1-00928056_1-5-1,2006,2006-04-28,Silver Standard Resources Inc,FS,3,zinc_concentrate,zinc,205,,,,,,50,,,8,,85,,
2007-000002154 Karmin Exploration Inc-f1-01174686_1-1-1,2007,2007-09-30,Karmin Exploration Inc,PEA,3,zinc_concentrate,zinc,217.81,,,,,,50,160,1.3,8.5,,,70,70
2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007,2007-11-09,Dia Bras Exploration Inc,PEA,2,zinc_concentrate,zinc,,,,,,,,,,8,,68.6,,
2007-000003684 Tyler Resources Inc-f1-01180358_2-1-1,2007,2007-11-08,Tyler Resources Inc,PEA,3,zinc_concentrate,zinc,285,,,,,,50,,,,,84,,
2007-000005733 Sabina Silver Corporation-f1-01060126_1-1-1,2007,2007-03-01,Sabina Silver Corporation,PEA,3,zinc_concentrate,zinc,242.21,,,,,0.21,54.5,79.8,,6,,85,80,
2007-000013559 Metco Resources Inc-f1-01129924_4-1-1,2007,2007-07-17,Metco Resources Inc,PFS,1,zinc_concentrate,zinc,,,,,,,53,,,7,,,,
2007-000023253 Silverstone Resources Corp-f1-01167208_1-1-1,2007,2007-10-10,Silverstone Resources Corp,FS,1,zinc_concentrate,zinc,,,,,,,50,,,,,,,
2007-000025052 Strategic Resource Acquisition Corporation-f1-01069192_1-11-1,2007,2007-05-10,Strategic Resource Acquisition Corporation,PEA,1,zinc_concentrate,zinc,327.8688525,,,,,0.12,64.3,,,8.5,,85,,
2007-000026307 AIM Resources Limited-f1-01195400_1-1-1,2007,2007-06-12,AIM Resources Limited,FS,1,zinc_concentrate,zinc,175,,,,,,53.5,38.4,,7.53,,85,,
2008-000013559 Metco Resources Inc-f1-01234033_1-1-1,2008,2008-03-21,Metco Resources Inc,PFS,1,zinc_concentrate,zinc,,,,,,,53,26,0.2,,,,,
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008,2008-10-24,Cogitore Resources Inc,FS,3,zinc_concentrate,zinc,,,,,,0.5,56,215,3.2,,,,,
2008-000021569 International Royalty Corporation-f1-01332223_2-1-1,2008,2008-10-19,International Royalty Corporation,FS,1,zinc_concentrate,zinc,,,,,,,54,,,,,,,
