report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2001-000004187 Manhattan Minerals Corp-f1-00403738_1-3-1,2001,2001-01-01,Manhattan Minerals Corp,PFS,1,copper_concentrate,copper,90,0.09,,,,24,,,,8,85,,,
2004-000020335 Quadra Mining Ltd-f1-00615516_1-1-1,2004,2004-01-31,Quadra Mining Ltd,PEA,1,copper_gold_concentrate,copper,94.99716155,0.095,,0.4,6,25,,,,9,96.5,,90,93
2005-000002331 European Minerals Corporation-f1-00743984_2-18-1,2005,2005-01-01,European Minerals Corporation,FS,1,copper_gold_concentrate,copper,50,0.05,,,2,17,,,20,,,,,
2005-000005784 Tiberon Minerals Ltd-f1-00805816_1-3-1,2005,2005-07-19,Tiberon Minerals Ltd,FS,2,copper_concentrate,copper,61.3,,,,,26.9,,,4,8,96.5,,,92
2005-000021569 International Royalty Corporation-f1-00727186_2-1-1,2005,2004-01-01,International Royalty Corporation,FS,2,copper_concentrate,copper,,,,,,,,,,,,,,
2005-000022756 TEAL Exploration & Mining Incorporated-f1-00833672_1-10-1,2005,2005-09-16,TEAL Exploration & Mining Incorporated,PEA,1,copper_concentrate,copper,,,,,,26,,,,,,,,
2005-000022756 TEAL Exploration & Mining Incorporated-f1-00833672_1-10-1,2005,2005-09-16,TEAL Exploration & Mining Incorporated,PEA,2,copper_concentrate,copper,,,,,,,,,,,,,,
2006-000024169 Moly Mines Limited-f1-00988596_1-1-1,2006,2006-07-31,Moly Mines Limited,PFS,2,copper_concentrate,copper,,,,,,25,,,,,,,,
2007-000000389 LionOre Mining International Ltd-f1-01065965_1-1-1,2007,2007-03-05,LionOre Mining International Ltd,PFS,1,nickel_copper_concentrate,copper,,12,,,,,,,0.16,,,,,
2007-000002154 Karmin Exploration Inc-f1-01174686_1-1-1,2007,2007-09-31,Karmin Exploration Inc,PEA,1,copper_concentrate,copper,120,0.12,,0.3,4,25,,629,5,8.5,,,100,100
2007-000003026 North American Palladium Ltd-f1-01172644_2-1-1,2007,2007-08-09,North American Palladium Ltd,PEA,1,nickel_copper_concentrate,copper,,0.16,,,15.87,10,,,2.8,,85,,,85
2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007,2007-11-09,Dia Bras Exploration Inc,PEA,1,copper_concentrate,copper,,,,,,,,,,,92.3,,,
