report_id,effective_date,report_type,au_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2009-000022676 Selkirk Metals Corp-f1-01483120_1-1-1,2004-08-01,FS,400.0,392.1624683895725,359.6629469015018,550.7951037650636,270.3060431937926,652.5703569209161
2005-000002331 European Minerals Corporation-f1-00733423_1-1-1,2004-11-01,FS,375.0,392.1624683895725,359.6629469015018,550.7951037650636,270.3060431937926,652.5703569209161
2005-000002488 Cumberland Resources Ltd-f1-00759713_1-1-1,2005-03-31,FS,400.0,405.5678968037455,359.6629469015018,550.7951037650636,270.3060431937926,652.5703569209161
2005-000005784 Tiberon Minerals Ltd-f1-00805816_1-2-1,2005-07-01,FS,400.0,422.1308301963082,359.6629469015018,550.7951037650636,270.3060431937926,652.5703569209162
2005-000019857 MUNDORO MINING INC-f1-00797576_1-2-1,2005-07-18,PFS,400.0,422.1308301963083,359.66294690150175,550.7951037650636,270.3060431937926,652.5703569209162
2005-000019963 Jaguar Mining Inc-f1-00832456_1-2-1,2005-09-16,FS,375.0,422.1308301963083,359.6629469015018,550.7951037650636,270.30604319379256,652.5703569209162
2005-000016269 Jinshan Gold Mines Inc-f1-00839904_2-2-2,2005-10-19,PFS,400.0,422.1308301963083,359.6629469015018,550.7951037650636,270.3060431937926,652.5703569209161
2006-000009833 Gammon Lake Resources Inc-f1-00876619_1-1-1,2006-01-01,FS,450.0,438.18566405351993,378.05062491177847,579.4346251368103,283.67889394594135,686.446894396005
2006-000020574 Marathon PGM Corporation-f1-01001255_1-14-1,2006-06-30,PEA,485.0,509.4247222222223,402.5664560129035,615.0410172237777,301.5311442478881,726.4802666696363
2006-000002503 Bema Gold Corporation-f1-00972395_1-2-1,2006-08-22,FS,450.0,518.2302777777778,418.1723248641758,637.6493685761579,312.876770316484,751.8308577404481
2007-000024893 Victory Nickel Inc-f1-01128347_2-1-1,2006-11-24,PEA,471.6,518.2302777777778,426.57003632793334,648.7453814044918,320.87310506327395,765.2237952163906
2006-000024503 First Uranium Corporation-f1-01017030_1-22-2,2006-12-05,PEA,500.0,525.7511111111112,426.57003632793334,648.7453814044918,320.87310506327395,765.2237952163906
2007-000002470 Fortune Minerals Limited-f1-01060037_1-1-1,2007-02-01,FS,525.0,532.5775,430.9248581756335,652.9427784974529,325.94929968460036,769.985140328239
2007-000008415 Vannessa Ventures Ltd-f1-01055605_1-1-1,2007-02-21,FS,550.0,532.5775,435.0019390463836,656.2042178810374,330.78285957424873,773.187417243556
2007-000025328 OceanaGold Corporation-f1-01104368_1-1-3,2007-05-09,FS,500.0,541.3275,443.47816896516105,662.7186995383556,341.299902745137,779.7809638915261
2007-000025328 OceanaGold Corporation-f1-01104368_1-1-2,2007-05-09,FS,500.0,541.3275,443.47816896516105,662.7186995383556,341.299902745137,779.7809638915261
2007-000014497 European Goldfields Limited-f1-01114334_1-1-1,2007-05-25,PFS,425.0,541.3275,443.4781689651611,662.7186995383557,341.29990274513693,779.7809638915261
2007-000023730 Australian Solomons Gold Limited-f1-01113702_1-1-1,2007-05-30,FS,650.0,541.3275,447.56425136332297,665.6819309140932,346.41396568960886,782.6493247911491
2007-000026184 Troy Resources NL-f1-01195850_1-1-1,2007-06-01,PFS,600.0,541.3275,447.56425136332297,665.6819309140931,346.41396568960886,782.6493247911491
2007-000004246 Vista Gold Corp-f1-01122914_2-1-1,2007-06-20,PFS,550.0,543.7747222222222,451.96105794626266,669.0967090016908,351.7762131147476,786.0475152256037
2007-000001815 Olympus Pacific Minerals Inc-f1-01122678_1-5-2,2007-07-23,PFS,400.0,553.0261111111112,451.96105794626277,669.0967090016908,351.77621311474763,786.0475152256035
2007-000023797 Platmin Limited-f1-01150724_1-2-1,2007-08-07,FS,522.7,558.0775,460.53006606938396,677.2804513391699,362.3090210276566,795.8097915672283
2007-000000834 Agnico-Eagle Mines Limited-f1-01161104_1-1-1,2007-08-09,FS,529.56,558.0775,460.53006606938396,677.2804513391699,362.3090210276566,795.8097915672283
2007-000002878 Banro Corporation-f1-01144147_2-1-1,2007-08-17,PEA,600.0,563.1288888888888,460.53006606938396,677.2804513391699,362.3090210276566,795.8097915672283
2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,2007-09-21,FS,575.0,569.2747222222222,473.86903741256566,689.9839317959785,377.75536649179816,809.9851552586236
2007-000002720 Orezone Resources Inc-f1-01170186_2-1-1,2007-10-01,FS,650.0,573.7538888888888,477.41870651391554,693.705157612961,380.2470658056089,812.8199680036997
2010-000001610 Eldorado Gold Corporation-f1-01529089_1-1-1,2007-10-10,FS,500.0,578.7886111111111,477.4187065139156,693.705157612961,380.2470658056089,812.8199680036997
2007-000026202 Mineral Deposits Limited-f1-01180806_1-2-1,2007-11-01,FS,600.0,583.1288888888888,483.75512711852616,701.833686278981,384.47494026048844,820.6320585813978
2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007-11-09,PEA,500.0,583.1288888888888,486.67766147350045,705.420107710253,386.30800013030324,823.7928926038084
2007-000014497 European Goldfields Limited-f1-01186774_3-1-1,2007-11-22,PFS,425.0,587.8163888888888,486.67766147350045,705.420107710253,386.3080001303033,823.7928926038084
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,668.0,587.8163888888888,490.2317961987015,709.5026782130589,388.9159324559931,827.4576964847079
2008-000004246 Vista Gold Corp-f1-01205410_1-1-1,2008-01-09,PEA,550.0,599.0663888888888,500.43388462051524,720.7110151374294,395.95077468966105,836.5050357234892
2008-000003441 Golden Queen Mining Co. Ltd-f1-01212288_1-1-1,2008-01-23,FS,600.0,606.2216060816061,500.43388462051524,720.7110151374294,395.95077468966093,836.5050357234891
2008-000022305 Moto Goldmines Limited-f1-01209672_1-1-1,2008-01-24,FS,600.0,606.2216060816061,500.43388462051524,720.7110151374294,395.95077468966093,836.5050357234891
2008-000008483 Anatolia Minerals Development Limited-f1-01213214_1-1-1,2008-02-04,PEA,574.0,606.2216060816061,504.1035114404396,724.7722205606814,398.26474254984896,839.6021607903322
2008-000005820 Amarillo Gold Corp-f1-01234642_1-1-1,2008-02-29,PEA,800.0,617.1329343854344,511.8137787103654,733.6103811964531,403.6781083081569,847.2713132803323
2008-000002073 Apollo Gold Corporation-f1-01248121_1-1-1,2008-02-29,FS,750.0,617.1329343854344,511.8137787103654,733.6103811964531,403.6781083081569,847.2713132803323
2008-000003532 International Minerals Corporation-f1-01235618_1-1-1,2008-03-26,PFS,650.0,632.5581515781515,516.8617103968355,737.4471436273872,408.7920886792142,849.9629551403174
2008-000001913 Northgate Minerals Corporation-f1-01302144_4-1-1,2008-04-01,PEA,635.0,632.5581515781515,522.2601380236148,741.9134077247853,414.3452090790377,853.6517484813786
2008-000004159 Far West Mining Ltd-f1-01267122_1-1-1,2008-04-30,PEA,635.0,643.4323182448182,522.2601380236148,741.9134077247853,414.34520907903783,853.6517484813785
2008-000003277 Atna Resources Ltd-f1-01269132_3-1-1,2008-05-08,FS,650.0,643.4323182448182,522.2601380236148,741.9134077247853,414.34520907903783,853.6517484813785
