,report_id,effective_date,report_type,cad_rate,reported_CAD_RATE_rolling_40_mean,reported_CAD_RATE_rolling_40_std,reported_CAD_RATE_upper_1STD,reported_CAD_RATE_lower_1STD,reported_CAD_RATE_upper_2STD,reported_CAD_RATE_lower_2STD
0,2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,1.0,,,,,,
1,2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,2007-12-05,,1.15,,,,,,
2,2008-000004246 Vista Gold Corp-f1-01205410_1-1-1,2008-01-09,PEA,1.0,,,,,,
3,2008-000000880 NovaGold Resources Inc-f1-01212400_1-1-1,2008-01-25,MRE,1.11,,,,,,
4,2008-000026704 PC Gold Inc-f1-01232671_1-1-1,2008-01-25,OTHER,1.0132,,,,,,
5,2009-000004246 Vista Gold Corp-f1-01381024_1-1-1,2008-03-15,MRE,1.3333,,,,,,
6,2008-000001913 Northgate Minerals Corporation-f1-01302144_4-1-1,2008-04-01,PEA,1.1111,,,,,,
7,2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008-04-07,PFS,1.1111,,,,,,
8,2008-000011539 Alexis Minerals Corporation-f1-01246209_2-1-1,2008-04-08,,1.0,,,,,,
9,2008-000009374 Starfield Resources Inc-f1-01258110_1-1-1,2008-04-30,PEA,1.11,,,,,,
10,2008-000009151 LIBERTY MINES INC-f1-01268623_1-1-1,2008-05-16,,1.0204,,,,,,
11,2008-000000523 Shore Gold Inc-f1-01294737_3-1-1,2008-06-09,MRE,1.02,,,,,,
12,2008-000023904 Cadiscor Resources Inc-f1-01327410_1-1-1,2008-06-17,,1.0,,,,,,
13,2008-000003240 ST ANDREW GOLDFIELDS LTD-f1-01291360_1-1-1,2008-07-09,,1.05,,,,,,
14,2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,1.0526,,,,,,
15,2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,1.0965,,,,,,
16,2008-000003832 Halo Resources Ltd-f1-01328625_2-1-1,2008-09-15,MRE,1.0,,,,,,
17,2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,1.1,,,,,,
18,2008-000022200 TTM Resources Inc-f1-01329563_2-1-1,2008-10-07,PEA,1.1111,,,,,,
19,2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,1.05,1.071965,0.07924270031133201,1.1512077003113321,0.992722299688668,1.2304504006226642,0.913479599377336
