id,report_id,effective_date,report_type,cu_price_usd_dmt,reported_copper_price_rolling_40_mean,reported_copper_price_rolling_40_std,reported_copper_price_upper_1STD,reported_copper_price_lower_1STD,reported_copper_price_upper_2STD,reported_copper_price_lower_2STD
0,2007-000025906 Centenario Copper Corporation-f1-01159654_1-2-2,2007-08-31,FS,2866.006,,,,,,
1,2007-000007056 Formation Capital Corporation-f1-01158950_1-1-1,2007-09-14,,5070.625999999999,,,,,,
2,2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,2007-09-21,FS,3306.93,,,,,,
3,2007-000026163 Nord Resources Corporation-f1-01181885_1-9-1,2007-09-28,FS,5401.319,,,,,,
4,2007-000002154 Karmin Exploration Inc-f1-01174686_1-1-1,2007-09-31,MRE,3306.93,,,,,,
5,2007-000026138 Marengo Mining Limited-f1-01180022_1-1-1,2007-11-01,PEA,3306.93,,,,,,
6,2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007-11-09,PEA,4409.24,,,,,,
7,2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,5533.596199999999,,,,,,
8,2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,2007-12-05,,4695.8406,,,,,,
9,2008-000005815 Norsemont Mining Inc-f1-01200489_1-17-1,2007-12-11,PEA,3968.316,,,,,,
10,2008-000003832 Halo Resources Ltd-f1-01204651_1-1-1,2007-12-19,MRE,4400.0,,,,,,
11,2007-000002465 CONSTELLATION COPPER CORPORATION-f1-01202191_2-1-1,2007-12-20,PEA,5511.549999999999,,,,,,
12,2008-000005970 Inca Pacific Resources Inc-f1-01203599_1-2-1,2008-01-17,FS,3306.93,,,,,,
13,2008-000000880 NovaGold Resources Inc-f1-01212400_1-1-1,2008-01-25,MRE,3417.161,,,,,,
14,2008-000000042 International Barytex Resources Ltd-f1-01230071_1-1-1,2008-01-30,PEA,3306.93,,,,,,
15,2008-000003532 International Minerals Corporation-f1-01235618_1-1-1,2008-03-26,PFS,5511.549999999999,,,,,,
16,2008-000008502 Entree Gold Inc-f1-01238160_1-1-1,2008-03-26,,2976.237,,,,,,
17,2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008-04-07,PFS,6569.767599999999,,,,,,
18,2008-000009374 Starfield Resources Inc-f1-01258110_1-1-1,2008-04-30,PEA,4409.24,,,,,,
19,2008-000004159 Far West Mining Ltd-f1-01267122_1-1-1,2008-04-30,PEA,3306.93,4229.10147,1079.0185165322168,5308.119986532216,3150.0829534677828,6387.138503064433,2071.064436935566
