,report_id,effective_date,report_type,au_price_usd_troy_oz,reported_gold_price_rolling_40_mean,reported_gold_price_rolling_40_std,reported_gold_price_upper_1STD,reported_gold_price_lower_1STD,reported_gold_price_upper_2STD,reported_gold_price_lower_2STD
0,2007-000004256 Great Basin Gold Ltd-f1-01067721_1-1-1,2007-03-19,,450.0,,,,,,
1,2007-000019963 Jaguar Mining Inc-f1-01076817_1-1-1,2007-03-30,,550.0,,,,,,
2,2007-000012639 Queenstake Resources Ltd-f1-01093904_1-1-1,2007-04-01,OTHER,485.0,,,,,,
3,2007-000001166 Comaplex Minerals Corp-f1-01079413_1-1-1,2007-04-02,MRE,450.0,,,,,,
4,2007-000025132 Coro Mining Corp-f1-01074196_1-5-1,2007-04-14,MRE,500.0,,,,,,
5,2007-000004690 Pacific Booker Minerals Inc-f1-01101603_1-1-1,2007-05-04,MRE,465.0,,,,,,
6,2007-000025328 OceanaGold Corporation-f1-01104368_1-1-3,2007-05-09,FS,500.0,,,,,,
7,2007-000025328 OceanaGold Corporation-f1-01104368_1-1-2,2007-05-09,FS,500.0,,,,,,
8,2007-000014497 European Goldfields Limited-f1-01114334_1-1-1,2007-05-25,PFS,425.0,,,,,,
9,2007-000023730 Australian Solomons Gold Limited-f1-01113702_1-1-1,2007-05-30,FS,650.0,,,,,,
10,2007-000001913 Northgate Minerals Corporation-f1-01118902_1-1-1,2007-05-31,MRE,475.0,,,,,,
11,2007-000026184 Troy Resources NL-f1-01195850_1-1-1,2007-06-01,PFS,600.0,,,,,,
12,2007-000004246 Vista Gold Corp-f1-01122914_2-1-1,2007-06-20,PFS,550.0,,,,,,
13,2007-000013559 Metco Resources Inc-f1-01129924_4-1-1,2007-07-17,,600.0,,,,,,
14,2007-000001815 Olympus Pacific Minerals Inc-f1-01122678_1-5-2,2007-07-23,PFS,400.0,,,,,,
15,2007-000001837 TVI Pacific Inc-f1-01138836_1-1-1,2007-07-27,MRE,650.0,,,,,,
16,2007-000023797 Platmin Limited-f1-01150724_1-2-1,2007-08-07,FS,522.7,,,,,,
17,2007-000000834 Agnico-Eagle Mines Limited-f1-01161104_1-1-1,2007-08-09,FS,529.56,,,,,,
18,2007-000002878 Banro Corporation-f1-01144147_2-1-1,2007-08-17,PEA,600.0,,,,,,
19,2007-000003295 Tri Origin Exploration Ltd-f1-01157089_1-1-2,2007-08-30,MRE,570.0,523.613,71.75895624277594,595.371956242776,451.85404375722413,667.1309124855519,380.0950875144482
20,2007-000025687 Gold Standard Royalty Corporation-f1-01133899_1-7-2,2007-09-01,MRE,400.0,517.7266666666667,74.96337594674704,592.6900426134138,442.76329071991967,667.6534185601607,367.79991477317265
21,2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,2007-09-21,FS,575.0,520.33,74.16881895218437,594.4988189521844,446.16118104781566,668.6676379043688,371.9923620956313
22,2007-000002154 Karmin Exploration Inc-f1-01174686_1-1-1,2007-09-31,MRE,600.0,523.7939130434783,74.34337616389668,598.1372892073749,449.4505368795816,672.4806653712716,375.1071607156849
23,2007-000003532 International Minerals Corporation-f1-01168071_1-1-1,2007-10-01,,600.0,526.9691666666666,74.35462056439643,601.3237872310631,452.6145461022702,675.6784077954595,378.25992553787376
24,2007-000002720 Orezone Resources Inc-f1-01170186_2-1-1,2007-10-01,FS,650.0,531.8904,76.83563173424164,608.7260317342416,455.05476826575836,685.5616634684833,378.2191365315167
25,2010-000001610 Eldorado Gold Corporation-f1-01529089_1-1-1,2007-10-10,FS,500.0,530.6638461538462,75.54257756136857,606.2064237152148,455.1212685924776,681.7490012765834,379.57869103110903
26,2007-000009568 Lake Shore Gold Corp-f1-01168008_1-1-1,2007-10-12,,600.0,533.2318518518518,75.26784792362628,608.4996997754781,457.96400392822557,683.7675476991044,382.6961560045993
27,2007-000026202 Mineral Deposits Limited-f1-01180806_1-2-1,2007-11-01,FS,600.0,535.6164285714286,74.93089261615647,610.5473211875851,460.68553595527214,685.4782138037416,385.75464333911566
28,2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007-11-09,PEA,500.0,534.388275862069,73.87731906289768,608.2655949249666,460.5109567991713,682.1429139878644,386.6336377362736
29,2007-000014497 European Goldfields Limited-f1-01186774_3-1-1,2007-11-22,PFS,425.0,530.742,75.28954836106931,606.0315483610693,455.45245163893065,681.3210967221386,380.16290327786135
30,2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,668.0,535.1696774193548,78.02114907655364,613.1908264959085,457.14852834280117,691.211975572462,379.12737926624754
31,2008-000003832 Halo Resources Ltd-f1-01204651_1-1-1,2007-12-19,MRE,598.7426404550445,537.1563325142201,77.57082407439458,614.7271565886147,459.58550843982556,692.2979806630093,382.014684365431
32,2008-000004246 Vista Gold Corp-f1-01205410_1-1-1,2008-01-09,PEA,550.0,537.5455345592437,76.38188925308044,613.9274238123242,461.1636453061633,690.3093130654046,384.78175605308286
33,2008-000003441 Golden Queen Mining Co. Ltd-f1-01212288_1-1-1,2008-01-23,FS,600.0,539.3824306016189,75.97448018128212,615.3569107829011,463.4079504203368,691.3313909641831,387.4334702390547
34,2008-000022305 Moto Goldmines Limited-f1-01209672_1-1-1,2008-01-24,FS,600.0,541.1143611558584,75.54693094948482,616.6612921053433,465.5674302063736,692.2082230548281,390.0204992568888
35,2008-000000880 NovaGold Resources Inc-f1-01212400_1-1-1,2008-01-25,MRE,650.0,544.1389622348623,76.6394648627851,620.7784270976474,467.49949737207726,697.4178919604326,390.8600325092921
