,report_id,effective_date,report_type,pb_price_usd_dmt,reported_lead_price_rolling_40_mean,reported_lead_price_rolling_40_std,reported_lead_price_upper_1STD,reported_lead_price_lower_1STD,reported_lead_price_upper_2STD,reported_lead_price_lower_2STD
0,2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,1322.772,,,,,,
1,2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,1763.696,,,,,,
2,2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,1543.234,,,,,,
3,2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,1763.696,,,,,,
4,2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,1984.158,,,,,,
5,2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,2094.389,,,,,,
6,2010-000017006 Aquila Resources Inc-f1-01670111_1-1-1,2010-11-29,MRE,1543.234,,,,,,
7,2011a-000002432 Pan American Silver Corp-f1-01687065_1-1-1,2011-01-14,PEA,1950.0,,,,,,
8,2011a-000001640 IMPACT Silver Corp-f1-01695177_1-1-1,2011-01-28,MRE,1785.7422,,,,,,
9,2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,2204.62,,,,,,
10,2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1873.927,,,,,,
11,2011b-000021551 Selwyn Resources Ltd-f1-01761763_1-12-1,2011-07-06,MRE,2535.313,,,,,,
12,2011b-000024219 Zincore Metals Inc-f1-01826319_1-1-1,2011-09-01,PEA,1918.0194,,,,,,
13,2012-000019735 Andover Mining Corp-f1-01847454_1-1-1,2011-11-17,,1984.158,,,,,,
14,2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,2425.082,,,,,,
15,2011b-000013503 Bear Creek Mining Corporation-f1-01843253_1-1-1,2011-12-22,FS,1873.927,,,,,,
16,2012-000006210 SILVERCORP METALS INC-f1-01856000_1-1-1,2012-01-23,,2204.62,,,,,,
17,2012-000004927 LEVON RESOURCES LTD-f1-01871272_1-1-1,2012-03-12,PEA,2116.4352,,,,,,
18,2012-000030669 Ivanhoe Australia Limited-f1-01915126_1-1-1,2012-04-16,,0.0,,,,,,
19,2012-000008090 Huakan International Mining Inc-f1-01920382_1-1-1,2012-04-24,,2176.196212731668,1853.1609506365833,525.5711713127561,2378.732121949339,1327.5897793238273,2904.3032932620954,802.0186080110711
20,2012-000002753 CANADIAN ZINC CORPORATION-f1-01942300_1-1-1,2012-06-15,,2645.544,1890.893476796746,540.6592433763469,2431.552720173093,1350.234233420399,2972.21196354944,809.5749900440521
21,2012-000006210 SILVERCORP METALS INC-f1-01984618_6-1-1,2012-06-27,,2204.62,1905.153773305985,531.8520581570275,2437.0058314630123,1373.3017151489576,2968.8578896200397,841.4496569919299
