,report_id,effective_date,report_type,ag_price_usd_troy_oz,reported_silver_price_rolling_40_mean,reported_silver_price_rolling_40_std,reported_silver_price_upper_1STD,reported_silver_price_lower_1STD,reported_silver_price_upper_2STD,reported_silver_price_lower_2STD
0,2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007-11-09,PEA,10.0,,,,,,
1,2007-000014497 European Goldfields Limited-f1-01186774_3-1-1,2007-11-22,PFS,7.0,,,,,,
2,2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,12.24,,,,,,
3,2008-000005815 Norsemont Mining Inc-f1-01200489_1-17-1,2007-12-11,PEA,11.0,,,,,,
4,2008-000003832 Halo Resources Ltd-f1-01204651_1-1-1,2007-12-19,MRE,8.482187406446462,,,,,,
5,2008-000005970 Inca Pacific Resources Inc-f1-01203599_1-2-1,2008-01-17,FS,12.0,,,,,,
6,2008-000003441 Golden Queen Mining Co. Ltd-f1-01212288_1-1-1,2008-01-23,FS,12.0,,,,,,
7,2008-000000880 NovaGold Resources Inc-f1-01212400_1-1-1,2008-01-25,MRE,11.0,,,,,,
8,2008-000010138 PACIFIC RIM MINING CORP-f1-01225097_1-1-1,2008-03-03,,6.0,,,,,,
9,2008-000023611 Linear Metals Corporation-f1-01283852_1-1-1,2008-05-06,MRE,13.5,,,,,,
10,2008-000003277 Atna Resources Ltd-f1-01269132_3-1-1,2008-05-08,FS,12.0,,,,,,
11,2008-000025543 Paramount Gold and Silver Corp-f1-01285714_1-1-1,2008-06-13,MRE,18.0,,,,,,
12,2008-000024059 ATW Venture Corp-f1-01283919_2-1-1,2008-06-13,OTHER,16.07359,,,,,,
13,2008-000021638 Coeur d_Alene Mines Corporation-f1-01296030_2-1-1,2008-06-21,FS,11.0,,,,,,
14,2008-000023502 Silver Eagle Mines Inc-f1-01302075_2-1-1,2008-07-25,,13.82,,,,,,
15,2008-000003827 Wildcat Silver Corporation-f1-01309358_1-1-1,2008-08-07,OTHER,8.0,,,,,,
16,2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,11.34001134001134,,,,,,
17,2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,12.49,,,,,,
18,2008-000003832 Halo Resources Ltd-f1-01328625_2-1-1,2008-09-15,MRE,13.5,,,,,,
19,2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,12.0,11.57228943732289,2.845643942056239,14.417933379379129,8.726645495266652,17.26357732143537,5.881001553210412
20,2008-000018190 Chesapeake Gold Corp-f1-01333161_1-1-1,2008-10-22,OTHER,5.5,11.28313279745037,3.073865283766186,14.356998081216556,8.209267513684186,17.43086336498274,5.135402229917998
21,2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,15.0,11.452081306657172,3.1026877617368047,14.554769068393977,8.349393544920368,17.657456830130783,5.246705783183563
22,2008-000023640 Silvermex Resources Ltd-f1-01346935_1-1-1,2008-11-05,MRE,15.0,11.60633864115034,3.1203185505897264,14.726657191740067,8.486020090560615,17.846975742329793,5.365701539970888
23,2008-000006210 SILVERCORP METALS INC-f1-01359371_2-1-1,2008-11-20,,9.5,11.51857453110241,3.0818707925988518,14.600445323701262,8.436703738503557,17.682316116300115,5.354832945904706
24,2008-000013177 Candente Resource Corp-f1-01357519_3-1-1,2008-11-30,PEA,12.0,11.537831549858312,3.018518083259277,14.55634963311759,8.519313466599035,17.574867716376865,5.500795383339758
25,2008-000025315 Andean Resources Limited-f1-01357523_2-1-1,2008-12-01,PFS,13.11,11.598299567171454,2.9735600332374443,14.571859600408898,8.62473953393401,17.545419633646343,5.651179500696565
26,2009-000009013 Apogee Minerals Ltd-f1-01372467_1-1-1,2008-12-01,MRE,14.38,11.701325509128067,2.9645518001646236,14.66587730929269,8.736773708963444,17.630429109457314,5.772221908798819
27,2009-000025324 GOLDEN PREDATOR MINES INC-f1-01373188_1-1-1,2009-01-19,OTHER,13.5,11.765563883802063,2.928926220702445,14.694490104504508,8.836637663099618,17.623416325206954,5.907711442397173
28,"2009-000006010 Redhawk Resources, Inc-f1-01380852_1-1-1",2009-02-18,PEA,10.0,11.70468237056751,2.8947746235823804,14.59945699414989,8.809907746985129,17.494231617732268,5.915133123402748
29,2009-000005733 Sabina Silver Corporation-f1-01407382_1-1-1,2009-02-26,MRE,9.637006103437198,11.635759828329833,2.869368181314252,14.505128009644086,8.766391647015581,17.37449619095834,5.897023465701329
30,2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,15.0,11.744283704835322,2.885122473344793,14.629406178180115,8.859161231490528,17.51452865152491,5.974038758145736
31,2009-000006087 Gabriel Resources Ltd-f1-01384149_1-1-1,2009-03-04,FS,10.5,11.705399839059218,2.846717464274269,14.552117303333487,8.85868237478495,17.398834767607756,6.01196491051068
32,2009-000025297 Sandstorm Resources Ltd-f1-01386230_1-3-1,2009-03-06,PFS,11.95,11.712811965148333,2.802207980966894,14.515019946115228,8.910603984181439,17.317227927082122,6.108396003214545
33,2009-000024750 South American Silver Corp-f1-01389824_1-1-1,2009-03-13,PEA,13.3,11.759493966173382,2.772816634593195,14.532310600766577,8.986677331580188,17.305127235359773,6.213860696986992
34,2009-000003456 Gold Hawk Resources Inc-f1-01400028_1-1-1,2009-03-30,,12.0,11.766365567139857,2.732038074783908,14.498403641923765,9.03432749235595,17.230441716707674,6.302289417572041
35,2009-000026184 Troy Resources NL-f1-01435696_1-1-1,2009-05-06,FS,11.96,11.771744301385972,2.69291951084309,14.464663812229063,9.078824790542882,17.157583323072153,6.385905279699792
36,2009-000006455 Ely Gold & Minerals Inc-f1-01424660_1-1-1,2009-05-08,PEA,13.0,11.804940401348514,2.662921228953509,14.467861630302023,9.142019172395004,17.130782859255532,6.479097943441496
