report_id,effective_date,report_type,ag_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000014497 European Goldfields Limited-f1-01186774_3-1-1,2007-11-22,PFS,7.0,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,12.24,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2008-000005815 Norsemont Mining Inc-f1-01200489_1-17-1,2007-12-11,PEA,11.0,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2008-000003832 Halo Resources Ltd-f1-01204651_1-1-1,2007-12-19,MRE,8.482187406446462,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2008-000005970 Inca Pacific Resources Inc-f1-01203599_1-2-1,2008-01-17,FS,12.0,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2008-000003441 Golden Queen Mining Co. Ltd-f1-01212288_1-1-1,2008-01-23,FS,12.0,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2008-000000880 NovaGold Resources Inc-f1-01212400_1-1-1,2008-01-25,MRE,11.0,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2008-000010138 PACIFIC RIM MINING CORP-f1-01225097_1-1-1,2008-03-03,,6.0,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2008-000023611 Linear Metals Corporation-f1-01283852_1-1-1,2008-05-06,MRE,13.5,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2008-000003277 Atna Resources Ltd-f1-01269132_3-1-1,2008-05-08,FS,12.0,11.34728943732289,8.567963866219378,13.48240050837697,5.788638295115864,15.617511579431046
2008-000025543 Paramount Gold and Silver Corp-f1-01285714_1-1-1,2008-06-13,MRE,18.0,11.42728943732289,8.628369226731559,13.577453344265908,5.8294490161402255,15.727617251208926
2008-000024059 ATW Venture Corp-f1-01283919_2-1-1,2008-06-13,OTHER,16.07359,11.42728943732289,8.628369226731559,13.577453344265908,5.8294490161402255,15.727617251208926
