report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2009-000009013 Apogee Minerals Ltd-f1-01372467_1-1-1,2008-12-01,MRE,1895.9732,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.6980138041658,2647.087774415394
2009-000005733 Sabina Silver Corporation-f1-01407382_1-1-1,2009-02-26,MRE,1416.3957597173144,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.6980138041658,2647.087774415394
2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,1770.4946996466429,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.6980138041658,2647.087774415394
2009-000003456 Gold Hawk Resources Inc-f1-01400028_1-1-1,2009-03-30,,1102.31,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.6980138041658,2647.087774415394
2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,2403.0358,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.6980138041658,2647.087774415394
2009-000002178 Silver Standard Resources Inc-f1-01445535_1-1-1,2009-06-12,,1543.234,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.6980138041658,2647.087774415394
2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,2601.4516,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.6980138041658,2647.087774415394
2009-000003295 Tri Origin Exploration Ltd-f1-01495592_1-1-1,2009-10-09,MRE,3350.0,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.6980138041658,2647.087774415394
2009-000001640 IMPACT Silver Corp-f1-01501206_1-1-1,2009-11-10,MRE,1499.1416,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.6980138041658,2647.087774415394
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,1763.696,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.698013804166,2647.087774415394
2010-000011649 Lithic Resources Ltd-f1-01521254_1-1-1,2009-12-23,MRE,1763.696,1987.2882346390165,1660.9931242215912,2317.1880045272055,1334.698013804166,2647.087774415394
2010-000002586 Adex Mining Inc-f1-01526896_1-1-1,2010-01-22,,2586.702433416363,1990.3747026390167,1663.5728215381514,2320.7868416265737,1336.7709404372865,2651.198980614131
2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,2204.62,1996.9341730418432,1669.0552850518598,2328.435216869052,1341.1763970618765,2659.9362606962613
2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,1984.158,2005.6186964482035,1676.3138867049443,2338.5614145244767,1347.009076961685,2671.5041326007495
2011a-000026050 Josephine Mining Corp. ( Green Park Capital Corp.)-f1-01717587_1-1-1,2010-05-17,,1433.003,2024.224009854564,1691.8643725898296,2360.255302856442,1359.504735325095,2696.2865958583197
2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,2204.62,2040.8451652609244,1705.7564816283545,2379.6356530530993,1370.6677979957847,2718.426140845274
2010-000022586 Donner Metals Ltd-f1-01646195_1-1-1,2010-09-21,,1763.696,2060.993712667285,1722.5968161715198,2403.1289599347483,1384.1999196757547,2745.2642072022127
2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,2425.082,2071.496321670819,1731.3749898844167,2415.3750544745517,1391.2536580980145,2759.253787278285
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,1940.0656,2070.6246976708185,1730.6464788180942,2414.358736538354,1390.6682599653702,2758.09277540589
2010-000017006 Aquila Resources Inc-f1-01670111_1-1-1,2010-11-29,MRE,2094.389,2065.784757670818,1726.601214059052,2408.7153423315403,1387.4176704472852,2751.645926992262
2010-000002929 Breakwater Resources Ltd-f1-01673123_2-1-1,2010-12-03,,2204.62,2064.2517476708185,1725.3199107106095,2406.9278450169068,1386.3880737504005,2749.6039423629945
