Year,Lead Forecast Price,Lead Stdv,Lead Forecast Price (+ 1 stdv.),Lead Forecast Price (- 1 stdv.)
2026-01-01,2007.61081,80.58787923,2088.19869,1927.022931
2027-01-01,2035.774635,138.6070851,2174.38172,1897.16755
2028-01-01,2107.517422,147.7431762,2255.260598,1959.774246
2029-01-01,2128.469539,174.8626153,2303.332154,1953.606924
2030-01-01,2207.904356,204.1526774,2412.057033,2003.751678
2031-01-01,1943.743208,175.8881777,2119.631386,1767.85503
2032-01-01,1943.743208,175.8881777,2119.631386,1767.85503
2033-01-01,1943.743208,175.8881777,2119.631386,1767.85503
2034-01-01,1943.743208,175.8881777,2119.631386,1767.85503
2035-01-01,1943.743208,175.8881777,2119.631386,1767.85503
