report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,1.0,1.1018323161886732,1.0444940396661002,1.1799142224364247,0.9871557631435274,1.2579961286841763
2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,2007-12-05,,1.15,1.1026046685509694,1.0452261995665568,1.1807413079408307,0.9878477305821441,1.2588779473306921
2008-000004246 Vista Gold Corp-f1-01205410_1-1-1,2008-01-09,PEA,1.0,1.1034037014578177,1.0459836515821113,1.1815969647201183,0.9885636017064048,1.2597902279824191
2008-000001913 Northgate Minerals Corporation-f1-01302144_4-1-1,2008-04-01,PEA,1.1111,1.10692980640667,1.0493262614767394,1.1853729488856088,0.9917227165468088,1.263816091364548
2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008-04-07,PFS,1.1111,1.1079053246365904,1.050251014691695,1.1864175977099516,0.9925967047467997,1.2649298707833125
2008-000011539 Alexis Minerals Corporation-f1-01246209_2-1-1,2008-04-08,,1.0,1.1085188354578102,1.0508325990095804,1.1870745852868632,0.9931463625613508,1.2656303351159164
2008-000009374 Starfield Resources Inc-f1-01258110_1-1-1,2008-04-30,PEA,1.11,1.1091527966397372,1.0514335694713954,1.187753472449672,0.9937143423030534,1.2663541482596068
2008-000009151 LIBERTY MINES INC-f1-01268623_1-1-1,2008-05-16,,1.0204,1.1098078898610617,1.0520545722819372,1.1884549891845744,0.9943012547028128,1.2671020885080868
2008-000023904 Cadiscor Resources Inc-f1-01327410_1-1-1,2008-06-17,,1.0,1.1111843135072001,1.0533593681871982,1.1899289537909077,0.9955344228671962,1.2686735940746154
2008-000003240 ST ANDREW GOLDFIELDS LTD-f1-01291360_1-1-1,2008-07-09,,1.05,1.1119071239574403,1.054044564288267,1.190702986570518,0.9961820046190939,1.269498849183596
2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,1.0526,1.1161460052161063,1.0580628583103955,1.1952422583007392,0.9999797114046849,1.274338511385372
2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,1.0965,1.1166984276121987,1.058586533185074,1.1958338283902756,1.000474638757949,1.2749692291683525
2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,1.1,1.117859128446655,1.05968683228287,1.1970767828784015,1.0015145361190851,1.276294437310148
2008-000022200 TTM Resources Inc-f1-01329563_2-1-1,2008-10-07,PEA,1.1111,1.1212063293066425,1.0628598480825115,1.2006611848259792,1.0045133668583806,1.2801160403453156
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,1.05,1.1215643180613086,1.0631992074523744,1.2010445426354177,1.00483409684344,1.280524767209527
2008-000024893 Victory Nickel Inc-f1-01354993_1-1-1,2008-11-05,,1.0526,1.1232932572018004,1.0648381742903008,1.2028960039255074,1.0063830913788014,1.2824987506492147
