report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000025906 Centenario Copper Corporation-f1-01159654_1-2-2,2007-08-31,FS,2866.006,4641.451949128543,3607.2728601387043,5670.277821339438,2573.0937711488655,6699.1036935503325
2007-000007056 Formation Capital Corporation-f1-01158950_1-1-1,2007-09-14,,5070.625999999999,4650.273078228774,3614.1285208129493,5681.054245019876,2577.9839633971255,6711.835411810979
2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,2007-09-21,FS,3306.93,4659.378627179087,3621.2052286977087,5692.178133154445,2583.0318302163305,6724.977639129804
2007-000026163 Nord Resources Corporation-f1-01181885_1-9-1,2007-09-28,FS,5401.319,4668.7784618501555,3628.510651412492,5703.661538486181,2588.2428409748277,6738.544615122206
2007-000026138 Marengo Mining Limited-f1-01180022_1-1-1,2007-11-01,PEA,3306.93,4678.479138255055,3636.049884200833,5715.512470236324,2593.6206301466113,6752.5458022175935
2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007-11-09,PEA,4409.24,4688.387422803703,3643.7504671939587,5727.61702862441,2599.113511584215,6766.846634445116
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,5533.596199999999,4698.582926056191,3651.67427262839,5740.072470715291,2604.765619200589,6781.562015374391
2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,2007-12-05,,4695.8406,4708.969324956449,3659.7464395447164,5752.761122450395,2610.523554132984,6796.552919944343
2008-000005815 Norsemont Mining Inc-f1-01200489_1-17-1,2007-12-11,PEA,3968.316,4712.104765116583,3662.1832606770267,5756.591565379678,2612.261756237471,6801.078365642774
2007-000002465 CONSTELLATION COPPER CORPORATION-f1-01202191_2-1-1,2007-12-20,PEA,5511.549999999999,4718.692673275262,3667.303292633913,5764.639751578868,2615.9139119925644,6810.5868298824735
2008-000005970 Inca Pacific Resources Inc-f1-01203599_1-2-1,2008-01-17,FS,3306.93,4722.152225046022,3669.992008869196,5768.866148812433,2617.8317926923705,6815.580072578842
2008-000000042 International Barytex Resources Ltd-f1-01230071_1-1-1,2008-01-30,PEA,3306.93,4729.42112771103,3675.641300425774,5777.746278999842,2621.861473140518,6826.071430288654
2008-000003532 International Minerals Corporation-f1-01235618_1-1-1,2008-03-26,PFS,5511.549999999999,4737.1827004455545,3681.673488410075,5787.2282846777325,2626.164276374596,6837.27386890991
2008-000008502 Entree Gold Inc-f1-01238160_1-1-1,2008-03-26,,2976.237,4737.1827004455545,3681.673488410075,5787.2282846777325,2626.164276374596,6837.27386890991
2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008-04-07,PFS,6569.767599999999,4748.833857008839,3690.7286076530636,5801.462040704474,2632.6233582972886,6854.090224400109
2008-000004159 Far West Mining Ltd-f1-01267122_1-1-1,2008-04-30,PEA,3306.93,4766.696172649394,3704.6109546288853,5823.283723515047,2642.5257366083765,6879.871274380702
2008-000009374 Starfield Resources Inc-f1-01258110_1-1-1,2008-04-30,PEA,4409.24,4766.696172649394,3704.6109546288853,5823.283723515047,2642.5257366083765,6879.871274380702
2008-000020823 Equinox Minerals Limited-f1-01282420_1-1-1,2008-06-01,FS,3306.93,4764.781185133445,3703.122652569638,5820.944259192496,2641.4641200058304,6877.107333251547
2009-000025132 Coro Mining Corp-f1-01424004_1-1-1,2008-06-18,PEA,3637.623,4763.775555077256,3702.34109066858,5819.715720824206,2640.9066262599035,6875.655886571155
2008-000004513 Buchans River Ltd-f1-01295302_2-1-1,2008-07-22,,5511.549999999999,4802.7792052702325,3732.6541931911393,5867.364933842998,2662.529181112046,6931.950662415764
2008-000009698 Virgin Metals Inc-f1-01320310_2-1-1,2008-07-28,PFS,5511.549999999999,4813.3073131520205,3740.8364943862894,5880.2267058223415,2668.3656756205582,6947.1460984926625
2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,4437.573804573804,4838.794439141463,3760.6447394941406,5911.363317126646,2682.495039846818,6983.932195111828
2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,6657.9524,4841.275652032824,3762.573104157037,5914.3945165405585,2683.8705562812506,6987.513381048294
2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,4409.24,4846.488956007894,3766.624812576523,5920.763403309124,2686.760669145152,6995.037850610355
