report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,1763.696,2082.671425618487,1871.1432627092192,2280.1636190010736,1659.6150997999516,2477.65581238366
2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,1543.234,2085.6290416585407,1873.8004861478055,2283.401695065569,1661.9719306370705,2481.174348472598
2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,1763.696,2088.658019276501,1876.5218232694594,2286.7178996681223,1664.3856272624178,2484.7777800597432
2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,1984.158,2091.547642436862,1879.117959578706,2289.881535334234,1666.6882767205498,2488.215428231606
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,2094.389,2094.492897438628,1881.764077437589,2293.10607820792,1669.0352574365502,2491.719258977212
2011a-000002432 Pan American Silver Corp-f1-01687065_1-1-1,2011-01-14,PEA,1950.0,2100.376432317579,1887.0500464647941,2299.5475274048927,1673.723660612009,2498.718622492206
2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,2204.62,2104.8006386238553,1891.0249047746524,2304.391265182459,1677.2491709254498,2503.9818917410626
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1873.927,2106.4175216749486,1892.4775678257834,2306.161471401228,1678.537613976618,2505.9054211275075
2011b-000024219 Zincore Metals Inc-f1-01826319_1-1-1,2011-09-01,PEA,1918.0194,2109.8147726189677,1895.5297743032147,2309.8808713564413,1681.2447759874617,2509.946970093915
2012-000019735 Andover Mining Corp-f1-01847454_1-1-1,2011-11-17,,1984.158,2111.5987934698983,1897.1325996719643,2311.8340644476766,1682.6664058740305,2512.069335425455
