report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,1.0,1.0786860789372683,1.0226544579569123,1.1535560975381747,0.9666228369765564,1.228426116139081
2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,2007-12-05,,1.15,1.0786268407211288,1.022598296829964,1.1534927476843393,0.9665697529387994,1.2283586546475496
2008-000004246 Vista Gold Corp-f1-01205410_1-1-1,2008-01-09,PEA,1.0,1.078563572789007,1.022538315307913,1.1534250884178456,0.9665130578268188,1.2282866040466842
2008-000001913 Northgate Minerals Corporation-f1-01302144_4-1-1,2008-04-01,PEA,1.1111,1.0865096081545649,1.0300715992246545,1.1619226464434613,0.9736335902947443,1.237335684732358
2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008-04-07,PFS,1.1111,1.089544521479285,1.032948866023254,1.1651682086506605,0.976353210567223,1.2407918958220359
2008-000011539 Alexis Minerals Corporation-f1-01246209_2-1-1,2008-04-08,,1.0,1.0892961197858495,1.0327133673882793,1.1649025657600212,0.9761306149907094,1.2405090117341928
2008-000009374 Starfield Resources Inc-f1-01258110_1-1-1,2008-04-30,PEA,1.11,1.089012232136209,1.0324442260911657,1.1645989738850049,0.9758762200461223,1.2401857156338005
2008-000009151 LIBERTY MINES INC-f1-01268623_1-1-1,2008-05-16,,1.0204,1.0897446402222726,1.0331385897330834,1.1653822173420794,0.9765325392438942,1.2410197944618861
2008-000023904 Cadiscor Resources Inc-f1-01327410_1-1-1,2008-06-17,,1.0,1.0900529954215428,1.0334309276294604,1.165711975023458,0.9768088598373779,1.241370954625373
2008-000003240 ST ANDREW GOLDFIELDS LTD-f1-01291360_1-1-1,2008-07-09,,1.05,1.0942868223768094,1.037444831298531,1.1702396656978207,0.9806028402202522,1.2461925090188322
2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,1.0526,1.103797619047619,1.0464615960496877,1.180410592815808,0.9891255730517565,1.2570235665839966
2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,1.0965,1.104401088435374,1.047033718627033,1.181055948128642,0.9896663488186923,1.25771080782191
2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,1.1,1.1058789726502847,1.0484348351429815,1.1826364101192568,0.9909906976356782,1.2593938475882287
2008-000022200 TTM Resources Inc-f1-01329563_2-1-1,2008-10-07,PEA,1.1111,1.1067797782669921,1.049288849019369,1.1835997393325839,0.9917979197717458,1.2604197003981754
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,1.05,1.1068210391078548,1.0493279665936766,1.1836438640278926,0.9918348940794984,1.2604666889479301
2008-000024893 Victory Nickel Inc-f1-01354993_1-1-1,2008-11-05,,1.0526,1.107741032061066,1.0502001711333118,1.1846277123426074,0.9926593102055574,1.2615143926241488
2008-000025315 Andean Resources Limited-f1-01357523_2-1-1,2008-12-01,PFS,1.0753,1.113307407062273,1.0554774045386528,1.190580441268295,0.9976474020150328,1.267853475474317
2008-000015687 Strateco Resources Inc-f1-01359415_3-1-1,2008-12-17,,1.0526,1.1183342111758847,1.0602430947023063,1.1959561484824826,1.0021519782287278,1.2735780857890802
2009-000007862 Golden Band Resources Inc-f1-01384353_1-1-1,2009-01-16,PFS,1.1111,1.1305167920727455,1.0717928596495554,1.2089843044508726,1.0130689272263653,1.2874518168289995
2009-000001166 Comaplex Minerals Corp-f1-01377866_2-1-1,2009-02-20,PEA,1.1111,1.1362632653061222,1.0772408362058419,1.2151296319628697,1.0182184071055616,1.2939959986196172
2009-000002878 Banro Corporation-f1-01381509_1-1-1,2009-02-27,FS,1.06,1.136373834315067,1.0773456617821773,1.215247875404551,1.0183174892492874,1.2941219164940352
2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,1.25,1.136373834315067,1.0773456617821773,1.215247875404551,1.0183174892492874,1.2941219164940352
2009-000006087 Gabriel Resources Ltd-f1-01384149_1-1-1,2009-03-04,FS,1.23,1.1363556203298837,1.0773283939101719,1.215228397213371,1.0183011674904603,1.2941011740968584
2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,1.1765,1.1363556203298837,1.0773283939101719,1.215228397213371,1.0183011674904603,1.2941011740968584
2009-000004446 Ontex Resources Limited-f1-01422283_1-1-1,2009-05-04,,1.1111,1.1427818837515564,1.083420849411826,1.2221006981535671,1.0240598150720959,1.301419512555578
2009-000025019 MVE Capital Corp-f1-01430818_1-1-1,2009-05-25,,1.25,1.1454856765081625,1.0859841954769378,1.224992157199683,1.0264827144457132,1.3044986378912036
2009-000025547 Garson Gold Corp-f1-01435503_1-1-1,2009-05-30,,1.2,1.1477215562275787,1.088103933932049,1.2273832260509985,1.0284863116365195,1.3070448958744185
2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,1.24,1.1480055880696138,1.0883732119315808,1.227686972126592,1.0287408357935477,1.3073683561835703
2009-000002178 Silver Standard Resources Inc-f1-01445535_1-1-1,2009-06-12,,1.1236,1.1481830530319397,1.0885414585961086,1.2278767546716605,1.0288998641602776,1.3075704563113812
2009-000011769 Fronteer Development Group Inc-f1-01488718_3-1-1,2009-08-01,PEA,1.136,1.1510579011097455,1.091266974629108,1.2309511417379289,1.0314760481484706,1.3108443823661124
2009-000005589 International Wayside Gold Mines Ltd-f1-01488666_1-1-1,2009-08-17,PFS,1.1765,1.148902310636798,1.089223354849699,1.228645934891917,1.0295443990626,1.3083895591470363
2009-000009568 Lake Shore Gold Corp-f1-01483540_3-1-1,2009-08-28,,1.1628,1.14842502168015,1.088770858346054,1.2281355180088407,1.0291166950119581,1.3078460143375317
2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,1.2195,1.147879548586838,1.0882537194847457,1.2275521844281825,1.0286278903826533,1.307224820269527
2009-000008250 Northland Resources Inc-f1-01487781_2-1-1,2009-10-20,PEA,1.25,1.1350590782243504,1.0769794054722075,1.2133904582997597,1.0188997327200644,1.2917218383751687
2009-000004771 0373849 B.C. Ltd-f1-01518222_1-1-1,2009-12-14,PFS,1.1111,1.116007142857143,1.0614419003198592,1.189209767184601,1.0068766577825756,1.2624123915120589
2009-000024083 Avanti Mining Inc-f1-01516189_1-1-1,2009-12-15,PFS,1.087,1.1152105442176872,1.0606842499956046,1.1883609169880498,1.006157955773522,1.2615112897584122
2010-000004818 New Gold Inc-f1-01544679_1-1-1,2009-12-31,,1.18,1.113259690406775,1.0588317153880955,1.1879637322204324,1.0044037403694157,1.2626677740340897
2010-000002586 Adex Mining Inc-f1-01526896_1-1-1,2010-01-22,,1.1,1.1113785272009677,1.0584411820692763,1.1886210223364797,1.005503836937585,1.2658635174719917
2010-000003272 Société d_exploration minière Vior Inc-f1-01528825_1-1-1,2010-01-22,,1.142,1.1113785272009677,1.0584411820692763,1.1886210223364797,1.005503836937585,1.2658635174719917
2010-000005466 MDN INC-f1-01545636_1-1-1,2010-01-25,PEA,1.1111,1.1111760355277949,1.058248335509201,1.188404457184562,1.0053206354906072,1.2656328788413291
2010-000029665 Stonegate Agricom Ltd-f1-01546609_1-1-2,2010-02-01,,1.07,1.110042656259369,1.0573088850361796,1.1871014521945078,1.0045751138129901,1.2641602481296466
2010-000021049 Wescan Goldfields Inc-f1-01546365_1-1-1,2010-02-04,,1.0638,1.1097573214392786,1.0570371053538488,1.1867963095250968,1.004316889268419,1.263835297610915
2010-000002968 Kinross Gold Corporation-f1-01592433_2-2-1,2010-02-18,FS,1.15,1.1094312245020328,1.0563531375020936,1.1866206007090219,1.0032750505021542,1.263809976916011
2010-000009151 LIBERTY MINES INC-f1-01542198_2-1-1,2010-02-26,,1.1111,1.1049424625326394,1.0525972537223613,1.1815534030201644,1.0002520449120835,1.2581643435076895
2010-000011539 Alexis Minerals Corporation-f1-01571168_1-1-1,2010-04-01,PEA,1.05,1.1024093058068005,1.0501958730607983,1.1788222990842552,0.9979824403147962,1.2552352923617096
2010-000014169 Rusoro Mining Ltd-f1-01579192_1-1-1,2010-04-21,PFS,1.0309,1.0901329688172978,1.039098213975685,1.166913971701677,0.988063459134072,1.243694974586056
2010-000002178 Silver Standard Resources Inc-f1-01592513_3-1-1,2010-06-01,PEA,1.087,1.0838357142857142,1.0313123528340988,1.1602194913497814,0.9787889913824837,1.2366032684138484
2010-000005241 Oromin Explorations Ltd-f1-01647230_1-7-1,2010-06-02,FS,1.05,1.0836460544217688,1.0311318840066321,1.1600164651272866,0.9786177135914954,1.2363868758328045
2010-000005974 Sona Resources Corp. ( J-Pacific Gold Inc.)-f1-01597225_2-1-1,2010-06-10,PEA,1.08,1.0831815812855756,1.0305744145864493,1.1598923642797818,0.9779672478873228,1.236603147273988
2010-000000819 Newcastle Minerals Ltd-f1-01622050_1-1-1,2010-06-25,,1.0449,1.0825476575236508,1.0291881436746901,1.157965595334371,0.9758286298257297,1.233383533145091
