report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000025906 Centenario Copper Corporation-f1-01159654_1-2-2,2007-08-31,FS,2866.006,4379.972904094899,3404.0549289863743,5350.839239178167,2428.13695387785,6321.705574261436
2007-000007056 Formation Capital Corporation-f1-01158950_1-1-1,2007-09-14,,5070.625999999999,4380.42359380537,3404.4051988542396,5351.3898289284425,2428.3868039031095,6322.356064051515
2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,2007-09-21,FS,3306.93,4380.897448674796,3404.7734723662484,5351.968718634958,2428.649496057701,6323.039988595121
2007-000026163 Nord Resources Corporation-f1-01181885_1-9-1,2007-09-28,FS,5401.319,4381.399428907336,3405.1636045251107,5352.5819679824735,2428.9277801428852,6323.764507057611
2007-000026138 Marengo Mining Limited-f1-01180022_1-1-1,2007-11-01,PEA,3306.93,4448.979000565734,3457.6855216784074,5435.141251273595,2466.3920427910807,6421.303501981457
2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007-11-09,PEA,4409.24,4525.445252207582,3517.1140447542443,5528.557039160215,2508.782837300907,6531.668826112848
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,5533.596199999999,4545.862813204519,3532.982293410423,5553.5003639119695,2520.1017736163276,6561.13791461942
2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,2007-12-05,,4695.8406,4568.558792369668,3550.6212974492532,5581.2271418047985,2532.683802528839,6593.8954912399295
2008-000005815 Norsemont Mining Inc-f1-01200489_1-17-1,2007-12-11,PEA,3968.316,4585.641619770229,3563.897836845088,5602.096554737827,2542.1540539199473,6618.551489705425
2007-000002465 CONSTELLATION COPPER CORPORATION-f1-01202191_2-1-1,2007-12-20,PEA,5511.549999999999,4591.2889552360575,3568.2868685923213,5608.995680570114,2545.2847819485846,6626.7024059041705
2008-000005970 Inca Pacific Resources Inc-f1-01203599_1-2-1,2008-01-17,FS,3306.93,4597.778404097706,3573.3303793325927,5616.923582949849,2548.8823545674795,6636.068761801993
2008-000000042 International Barytex Resources Ltd-f1-01230071_1-1-1,2008-01-30,PEA,3306.93,4599.156272539711,3574.4012398068926,5618.606870195533,2549.6462070740745,6638.057467851355
2008-000008502 Entree Gold Inc-f1-01238160_1-1-1,2008-03-26,,2976.237,4714.917034827929,3664.3689181644504,5760.027203784782,2613.820801500972,6805.137372741634
2008-000003532 International Minerals Corporation-f1-01235618_1-1-1,2008-03-26,PFS,5511.549999999999,4714.917034827929,3664.3689181644504,5760.027203784782,2613.820801500972,6805.137372741634
2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008-04-07,PFS,6569.767599999999,4757.174853250055,3697.2111156478104,5811.651905107427,2637.2473780455657,6866.1289569648
2008-000004159 Far West Mining Ltd-f1-01267122_1-1-1,2008-04-30,PEA,3306.93,4760.608421205101,3699.879637617537,5815.846558943543,2639.150854029973,6871.0846966819845
2008-000009374 Starfield Resources Inc-f1-01258110_1-1-1,2008-04-30,PEA,4409.24,4760.608421205101,3699.879637617537,5815.846558943543,2639.150854029973,6871.0846966819845
2008-000020823 Equinox Minerals Limited-f1-01282420_1-1-1,2008-06-01,FS,3306.93,4771.0062803679175,3707.9607112929016,5828.5492112270385,2644.9151422178857,6886.092142086159
2009-000025132 Coro Mining Corp-f1-01424004_1-1-1,2008-06-18,PEA,3637.623,4774.8668221821135,3710.961071495789,5833.265482098161,2647.0553208094643,6891.664142014208
2008-000004513 Buchans River Ltd-f1-01295302_2-1-1,2008-07-22,,5511.549999999999,4773.692375464742,3710.0483075986967,5831.830707108169,2646.4042397326516,6889.969038751597
2008-000009698 Virgin Metals Inc-f1-01320310_2-1-1,2008-07-28,PFS,5511.549999999999,4773.447694235717,3709.8581446999915,5831.531789751823,2646.2685951642657,6889.615885267929
2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,4437.573804573804,4795.471433615169,3726.9746931880527,5858.43731895152,2658.4779527609367,6921.403204287872
2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,6657.9524,4799.916202360103,3730.429106556741,5863.867316700417,2660.942010753379,6927.8184310407305
2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,4409.24,4826.354390551492,3750.9765041769924,5896.165802988997,2675.598617802493,6965.977215426501
2008-000027145 Tiger Resources Limited-f1-01332326_3-1-1,2008-10-07,FS,5511.549999999999,4835.2110102873285,3757.8597476869572,5906.985584171818,2680.508485086586,6978.760158056308
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,7165.014999999999,4842.126389929808,3763.234285994212,5915.433829299134,2684.342182058616,6988.74126866846
2008-000024893 Victory Nickel Inc-f1-01354993_1-1-1,2008-11-05,,6613.86,4833.988529989759,3756.9096527494657,5905.492128461341,2679.830775509173,6976.9957269329225
