report_id,effective_date,report_type,au_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000004256 Great Basin Gold Ltd-f1-01067721_1-1-1,2007-03-19,,450.0,522.0573468618088,418.46772954008475,633.2361383809249,314.8781122183606,744.414929900041
2007-000019963 Jaguar Mining Inc-f1-01076817_1-1-1,2007-03-30,,550.0,522.2070109870518,418.5876964499664,633.4176753965281,314.968381912881,744.6283398060044
2007-000025328 OceanaGold Corporation-f1-01104368_1-1-3,2007-05-09,FS,500.0,532.1720876443514,426.57544536019657,645.5049426269779,320.97880307604174,758.8377976096044
2007-000025328 OceanaGold Corporation-f1-01104368_1-1-2,2007-05-09,FS,500.0,532.1720876443514,426.57544536019657,645.5049426269779,320.97880307604174,758.8377976096044
2007-000014497 European Goldfields Limited-f1-01114334_1-1-1,2007-05-25,PFS,425.0,532.0525763554493,426.47964818767923,645.3599798800072,320.90672001990913,758.6673834045653
2007-000023730 Australian Solomons Gold Limited-f1-01113702_1-1-1,2007-05-30,FS,650.0,532.482827317708,426.8245262827603,645.8818582895594,321.1662252478126,759.2808892614108
2007-000026184 Troy Resources NL-f1-01195850_1-1-1,2007-06-01,PFS,600.0,532.3218560884351,426.69549588937525,645.6866061774534,321.0691356903154,759.0513562664718
2007-000004246 Vista Gold Corp-f1-01122914_2-1-1,2007-06-20,PFS,550.0,532.6129953103294,426.9288655946358,646.0397472216547,321.2447358789422,759.46649913298
2007-000013559 Metco Resources Inc-f1-01129924_4-1-1,2007-07-17,,600.0,535.0770370508334,428.90397802019396,649.02853817718,322.73091898955454,762.9800393035266
2007-000001815 Olympus Pacific Minerals Inc-f1-01122678_1-5-2,2007-07-23,PFS,400.0,535.3725185342857,429.1408283705333,649.3869462230953,322.9091382067809,763.4013739119048
2007-000023797 Platmin Limited-f1-01150724_1-2-1,2007-08-07,FS,522.7,538.4124066904693,431.57752445846444,653.0742174562325,324.74264222645957,767.7360282219956
2007-000000834 Agnico-Eagle Mines Limited-f1-01161104_1-1-1,2007-08-09,FS,529.56,540.150792829465,432.9709700349368,655.1828151654491,325.7911472404086,770.2148375014333
2007-000002878 Banro Corporation-f1-01144147_2-1-1,2007-08-17,PEA,600.0,540.4627982791264,433.22106557120077,655.561266167595,325.9793328632751,770.6597340560635
2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,2007-09-21,FS,575.0,564.0073115515239,452.0937412867187,684.1198847835263,340.18017102191345,804.2324580155288
