report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,1763.696,2003.4110602086173,1799.1458604118534,2192.2642523030636,1594.8806606150895,2381.11744439751
2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,1543.234,2004.7636481788654,1800.3605402625583,2193.744343091302,1595.9574323462512,2382.7250380037394
2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,1763.696,2013.747508456234,1808.4284177688667,2203.5750743500735,1603.109327081499,2393.402640243913
2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,1984.158,2015.430106169172,1809.939459995845,2205.4162835209445,1604.4488138225179,2395.4024608727173
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,2094.389,2017.1786938527855,1811.509763941463,2207.329703261377,1605.8408340301405,2397.480712669968
2011a-000002432 Pan American Silver Corp-f1-01687065_1-1-1,2011-01-14,PEA,1950.0,2028.5211044473315,1821.6957170259707,2219.7413155237036,1614.87032960461,2410.961526600076
2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,2204.62,2045.1996969420672,1836.673781807781,2237.9921292639115,1628.147866673495,2430.7845615857555
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1873.927,2047.9266365991846,1839.122686225422,2240.9761261316653,1630.3187358516595,2434.025615664146
2011b-000024219 Zincore Metals Inc-f1-01826319_1-1-1,2011-09-01,PEA,1918.0194,2052.7145396262135,1843.4224208541386,2246.215364777256,1634.1303020820635,2439.7161899282987
2012-000019735 Andover Mining Corp-f1-01847454_1-1-1,2011-11-17,,1984.158,2061.8072710323113,1851.588069129742,2256.1652299912903,1641.3688672271728,2450.5231889502697
2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,2425.082,2062.5948601667765,1852.2953566949964,2257.0270618635827,1641.9958532232163,2451.4592635603885
2011b-000013503 Bear Creek Mining Corporation-f1-01843253_1-1-1,2011-12-22,FS,1873.927,2069.018475122313,1858.064028180183,2264.056204168565,1647.109581238053,2459.093933214817
2012-000006210 SILVERCORP METALS INC-f1-01856000_1-1-1,2012-01-23,,2204.62,2070.8362362696353,1859.696452752643,2266.0453180661816,1648.5566692356506,2461.2543998627284
2012-000004927 LEVON RESOURCES LTD-f1-01871272_1-1-1,2012-03-12,PEA,2116.4352,2086.5580615128024,1873.8153010340422,2283.249174102577,1661.072540555282,2479.940286692352
2012-000008090 Huakan International Mining Inc-f1-01920382_1-1-1,2012-04-24,,2176.196212731668,2093.267309609854,1879.8404828751713,2290.590874992192,1666.4136561404887,2487.9144403745304
2012-000002753 CANADIAN ZINC CORPORATION-f1-01942300_1-1-1,2012-06-15,,2645.544,2093.825004255396,1880.3413156961683,2291.2011411823946,1666.8576271369407,2488.577278109393
2012-000006210 SILVERCORP METALS INC-f1-01984618_6-1-1,2012-06-27,,2204.62,2103.72538365536,1889.2322652210737,2302.034787993009,1674.7391467867876,2500.344192330658
2012-000013727 MAG Silver Corp-f1-01932793_1-1-1,2012-07-01,,2094.389,2102.4911552597846,1888.1238771559351,2300.684214042142,1673.7565990520854,2498.8772728244985
2013-000030715 Chieftain Metals Inc-f1-02009167_1-1-1,2012-12-12,,2226.6662,2150.143791877065,1930.9179125940555,2352.8288656610525,1711.692033311046,2555.5139394450403
2012-000031912 Sunshine Silver Mines Corporation-f1-02001215_1-2-1,2012-12-21,,1873.927,2156.951311393819,1937.0313462280728,2360.2781016066115,1717.1113810623262,2563.6048918194037
2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,1984.158,2156.964197437071,1937.042918427026,2360.2922023633337,1717.1216394169808,2563.6202072895962
2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013-01-17,FS,1895.9732,2156.978924343645,1937.0561437972583,2360.3083175138736,1717.1333632508718,2563.6377106841023
2013-000026723 Southeast Asia Mining Corp-f1-02065996_1-1-1,2013-03-31,,2204.62,2156.9957550940144,1937.0712585060949,2360.326734828776,1717.1467619181753,2563.6577145635374
2013-000023995 Arian Silver Corporation-f1-02065398_1-1-1,2013-05-23,,1984.158,2157.1071387942293,1937.1712856683378,2360.4486182051432,1717.2354325424465,2563.7900976160577
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,2204.62,2156.932322085159,1937.014293044756,2360.257322255145,1717.0962640043533,2563.5823224251308
2013-000029631 Pan American Goldfields Ltd-f1-02088952_2-1-1,2013-07-24,PEA,2226.6662,2156.925664619661,1937.0083143658271,2360.2500372181835,1717.0909641119936,2563.5744098167065
2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013-08-06,PFS,2403.0358,2156.9348868380334,1937.0165962987458,2360.2601287765597,1717.098305759458,2563.5853707150854
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,2204.62,2156.9261913728924,1937.0087874119808,2360.250613626242,1717.091383451069,2563.5750358795913
2013-000022850 Alexco Resource Corp-f1-02146314_2-1-1,2013-11-15,,2094.389,2145.9686110757425,1927.1684278256184,2348.260108005952,1708.3682445754946,2550.5516049361618
2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2014-03-03,PEA,2233.28006,2123.551674484498,1907.0370930874283,2323.7300204411904,1690.5225116903587,2523.9083663978827
2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,2094.389,2124.253962516748,1907.6677767404913,2324.498510232677,1691.0815909642345,2524.743057948606
2014-000002470 Fortune Minerals Limited-f1-02236003_2-1-1,2014-04-18,,2204.62,2125.0565774107476,1908.3885580582773,2325.37678428009,1691.7205387058073,2525.6969911494325
2014-000025411 Xtierra Inc-f1-02198936_1-1-1,2014-04-28,,2204.62,2125.973851575319,1909.2123081357472,2326.3805260485624,1692.4507646961756,2526.7872005218055
2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014-05-13,,2204.62,2122.5179353955837,1906.1087526986253,2322.5988350864486,1689.6995700016669,2522.6797347773136
2014-000029868 Tahoe Resources Inc-f1-02274600_1-1-1,2014-11-05,,2094.389,2108.4695422455848,1893.4927155391683,2307.226158596465,1678.5158888327521,2505.9827749473457
2014-000022850 Alexco Resource Corp-f1-02296485_1-1-1,2014-11-15,,2160.5276,2108.5615990662354,1893.5753863654836,2307.3268932290634,1678.5891736647316,2506.0921873918915
2015-000029300 Rathdowney Resources Ltd-f1-02337292_2-2-1,2015-02-11,,2403.0358,2108.204154540829,1893.2543864214458,2306.935753901347,1678.3046183020626,2505.667353261865
2015-000028681 Golden Minerals Company-f1-02327135_1-1-1,2015-02-20,,1873.927,2110.4629188322297,1895.282850027959,2309.407442467297,1680.1027812236887,2508.351966102365
2015-000003353 Excellon Resources Inc-f1-02361109_1-2-1,2015-07-09,,1984.158,2103.1682218363753,1888.7319109003276,2301.425104856698,1674.2955999642802,2499.6819878770207
2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,1278.3184750308037,2105.146763120058,1890.508722674453,2303.590154962527,1675.8706822288482,2502.0335468049957
2016-000012585 Americas Silver Corporation-f1-02478065_1-1-1,2016-03-18,,1873.927,2110.490019637367,1895.307187670066,2309.437097952131,1680.1243557027653,2508.3841762668944
2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,2006.2042,2117.1000317041753,1901.2432514582097,2316.670208245456,1685.386471212244,2516.240384786736
2017-000002178 Silver Standard Resources Inc-f1-02636395_1-1-1,2016-12-31,PFS,2094.389,2125.237454291953,1911.8357251890561,2322.513652386709,1698.4339960861596,2519.7898504814652
2017-000022850 Alexco Resource Corp-f1-02603259_1-1-1,2017-01-03,,2072.3428,2127.0033683573233,1913.4243183088372,2324.4434882822143,1699.845268260351,2521.883608207105
2017-000003827 Arizona Mining Inc-f1-02611788_1-1-1,2017-03-29,,2204.62,2131.7775516887255,1929.2975778784792,2324.6061266373104,1726.8176040682329,2517.4347015858953
2017-000005029 Darnley Bay Resources Limited-f1-02636784_2-1-1,2017-04-18,PEA,2204.62,2134.892940004031,1932.1170611430948,2328.003315410068,1729.3411822821588,2521.1136908161047
2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,2072.3428,2136.147257603558,1934.592983567155,2323.836201443914,1733.038709530752,2511.52514528427
2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,2072.3428,2136.147257603558,1934.592983567155,2323.836201443914,1733.038709530752,2511.52514528427
2017-000002068 SOLITARIO ZINC CORP-f1-02657439_1-1-1,2017-07-13,,2204.62,2136.326445832062,1938.0743111152804,2326.4807673929804,1739.8221763984989,2516.635088953899
2017-000043521 VM Holding S.A-f1-02677003_1-3-2,2017-07-25,PEA,2234.64,2136.382637262603,1938.1252879536983,2326.5419604202452,1739.8679386447934,2516.701283577888
2017-000043521 VM Holding S.A-f1-02677003_1-1-6,2017-07-26,,1933.0,2136.3812993713996,1938.12407421945,2326.5405034434057,1739.8668490675004,2516.699707515412
2017-000002154 Karmin Exploration Inc-f1-02684450_2-1-1,2017-07-31,,1940.0656,2136.3780229031468,1938.1211018090469,2326.5369353368596,1739.864180714947,2516.695847770573
