report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,1770.4946996466429,2048.4031005743154,1790.1030724575173,2489.5620573736524,1531.8030443407192,2930.7210141729893
2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,2403.0358,2052.955586869574,1794.0814982381548,2495.0950001544024,1535.2074096067358,2937.234413439231
2009-000002178 Silver Standard Resources Inc-f1-01445535_1-1-1,2009-06-12,,1543.234,2053.8130047875843,1794.8307972647872,2496.1370778174332,1535.8485897419898,2938.4611508472817
2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,2601.4516,2061.8475287404335,1801.8521818788292,2505.9019751545175,1541.856835017225,2949.956421568601
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,1763.696,2069.993433888521,1808.9709027152949,2515.8022415493288,1547.9483715420686,2961.611049210136
2010-000002586 Adex Mining Inc-f1-01526896_1-1-1,2010-01-22,,2586.702433416363,2070.6791195158007,1809.5701245910034,2516.6356014092526,1548.461129666206,2962.592083302704
2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,2204.62,2071.338709650992,1810.1465415702773,2517.4372456625388,1548.9543734895628,2963.535781674086
2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,1984.158,2076.249502050966,1814.4380916860382,2523.4056619509083,1552.6266813211105,2970.561821850851
2011a-000026050 Josephine Mining Corp. ( Green Park Capital Corp.)-f1-01717587_1-1-1,2010-05-17,,1433.003,2087.1630272836296,1823.9754405822864,2536.669603176057,1560.7878538809432,2986.176179068484
2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,2204.62,2103.791134376224,1838.5067726171092,2556.8788600806483,1573.2224108579942,3009.966585785073
2010-000022586 Donner Metals Ltd-f1-01646195_1-1-1,2010-09-21,,1763.696,2103.4302210327496,1838.1913698114488,2556.440217820411,1572.952518590148,3009.4502146080727
2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,2425.082,2097.851916699377,1833.316479843027,2549.660529384598,1568.7810429866774,3001.4691420698186
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,1940.0656,2096.6425436877817,1832.2596066410695,2548.1906970249247,1567.8766695943573,2999.7388503620673
2010-000002929 Breakwater Resources Ltd-f1-01673123_2-1-1,2010-12-03,,2204.62,2093.5758319587044,1829.5796018670953,2544.463516003048,1565.5833717754863,2995.3512000473916
2011a-000005272 Jayden Resources Inc-f1-01707238_1-1-1,2011-03-04,PEA,1983.0,2100.9792539288237,1836.0494653484063,2553.4613926545567,1571.119676767989,3005.9435313802896
2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,2094.389,2105.5478369932457,1840.041958123928,2559.01389892149,1574.5360792546105,3012.4799608497347
2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,2204.62,2104.6265722259263,1839.2368632233868,2557.8942238883533,1573.8471542208472,3011.1618755507798
2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,2204.62,2103.5736982061326,1838.3167547656253,2556.6145952790534,1573.059811325118,3009.6554923519743
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1984.158,2101.40184717426,1836.418770328878,2553.974998648048,1571.435693483496,3006.5481501218355
2011b-000024219 Zincore Metals Inc-f1-01826319_1-1-1,2011-09-01,PEA,2094.389,2105.3114572185564,1839.8353854230668,2558.726610683139,1574.3593136275772,3012.1417641477215
2012-000019735 Andover Mining Corp-f1-01847454_1-1-1,2011-11-17,,1895.9732,2118.8117951507884,1851.6333544873237,2575.1344793630797,1584.4549138238588,3031.4571635753714
2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,2689.6364,2119.2952198031953,1852.0558201413407,2575.7220178567936,1584.8164204794862,3032.1488159103924
2011b-000013503 Bear Creek Mining Corporation-f1-01843253_1-1-1,2011-12-22,FS,1873.927,2119.847705120232,1852.5386380316468,2576.3934904210396,1585.2295709430614,3032.9392757218475
2012-000006210 SILVERCORP METALS INC-f1-01856000_1-1-1,2012-01-23,,2204.62,2126.333551963329,1858.2066309955615,2584.2761763074177,1590.0797100277941,3042.2188006515066
2012-000004927 LEVON RESOURCES LTD-f1-01871272_1-1-1,2012-03-12,PEA,2006.2042,2134.6242642861785,1865.451899076748,2594.3524366009997,1596.2795338673177,3054.0806089158204
2012-000001691 HudBay Minerals Inc-f1-01884181_1-1-1,2012-03-29,,2094.389,2140.199604167028,1870.3241984048957,2601.1285221382814,1600.4487926427632,3062.057440109535
2012-000030669 Ivanhoe Australia Limited-f1-01915126_1-1-1,2012-04-16,,1873.927,2140.6057401961275,1870.6791213950644,2601.622126569897,1600.7525025940013,3062.6385129436662
2012-000008090 Huakan International Mining Inc-f1-01920382_1-1-1,2012-04-24,,2087.3718775181305,2139.793345569298,1869.969168301785,2600.634768740765,1600.1449910342722,3061.476191912233
2012-000005760 Sunridge Gold Corp-f1-01923758_4-1-1,2012-05-01,PFS,2182.5738,2138.8648945672066,1869.1577933380368,2599.5063597931858,1599.4506921088669,3060.1478250191653
2012-000002753 CANADIAN ZINC CORPORATION-f1-01942300_1-1-1,2012-06-15,,2645.544,2137.8959703216397,1868.3110487356284,2598.328760990706,1598.7261271496175,3058.7615516597725
2012-000006210 SILVERCORP METALS INC-f1-01984618_6-1-1,2012-06-27,,2204.62,2138.2711942841684,1868.6389576164509,2598.7847959087685,1599.0067209487333,3059.298397533368
2012-000013727 MAG Silver Corp-f1-01932793_1-1-1,2012-07-01,,2006.2042,2138.7000216699153,1869.0137106231048,2599.305978672268,1599.3273995762943,3059.9119356746205
2013-000030715 Chieftain Metals Inc-f1-02009167_1-1-1,2012-12-12,,2138.4814,2127.3436330438394,1859.0893426284165,2585.503795779486,1590.8350522129936,3043.663958515133
2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,1873.927,2124.0415813353525,1856.2036738325048,2581.490590252395,1588.3657663296572,3038.9395991694378
2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013-01-17,FS,2204.62,2123.4378192331737,1855.6760450694744,2580.7567975624493,1587.914270905775,3038.0757758917243
