report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000024893 Victory Nickel Inc-f1-01128347_2-1-1,2006-11-24,PEA,1212.541,1310.7184409103427,1424.4527569788977,1945.4037054575067,1140.7721860353004,2182.674082992519
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,1322.772,1906.8407714285713,1618.7920886123957,2169.424711514404,1330.74340579622,2432.0086516002366
2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,1763.696,1906.8407714285713,1618.7920886123957,2169.424711514404,1330.74340579622,2432.0086516002366
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,2094.389,1906.8407714285715,1673.9206840001696,2196.659352692365,1414.7551203812911,2460.232457765682
2011a-000002432 Pan American Silver Corp-f1-01687065_1-1-1,2011-01-14,PEA,1950.0,1985.5772,1711.1926198166311,2245.5707181989587,1446.256411061834,2515.012607826489
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1873.927,2035.968514285714,1748.4645556330931,2294.4820837055527,1477.7577017423766,2569.7927578872964
2011b-000024219 Zincore Metals Inc-f1-01826319_1-1-1,2011-09-01,PEA,1918.0194,2035.968514285714,1793.4543420428533,2289.948834361179,1550.9401697999926,2543.929154436643
2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,2425.082,2035.968514285714,1819.118149363511,2260.5461168280835,1607.5168796794032,2490.3728146085487
2011b-000013503 Bear Creek Mining Corporation-f1-01843253_1-1-1,2011-12-22,FS,1873.927,2020.2212285714284,1842.4387580360092,2228.3094534304732,1661.9798970243999,2433.721287813328
2012-000004927 LEVON RESOURCES LTD-f1-01871272_1-1-1,2012-03-12,PEA,2116.4352,2012.503114285714,1842.4387580360092,2228.3094534304732,1661.9798970243999,2433.7212878133273
2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,1984.158,2147.9297714285713,1974.3990745712142,2348.3528848858527,1795.3043367614762,2543.211957390753
2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013-01-17,FS,1895.9732,2147.9297714285713,1974.3990745712142,2348.3528848858527,1795.3043367614762,2543.211957390753
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,2204.62,2164.6218942857145,1984.6016925161541,2360.4878922371863,1804.5814907465945,2556.3538901886586
2013-000029631 Pan American Goldfields Ltd-f1-02088952_2-1-1,2013-07-24,PEA,2226.6662,2164.6218942857145,1984.6016925161541,2360.4878922371863,1804.5814907465945,2556.3538901886586
2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013-08-06,PFS,2403.0358,2164.6218942857145,1989.4142481505598,2366.21195230857,1808.9575067773103,2562.5529150933307
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,2204.62,2180.36918,1989.4142481505598,2366.21195230857,1808.9575067773103,2562.5529150933307
2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2014-03-03,PEA,2233.28006,2180.36918,2000.733092481715,2375.100792082749,1821.09700496343,2569.832404165498
2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,2094.389,2180.36918,2000.733092481715,2375.100792082749,1821.09700496343,2569.832404165498
2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,2006.2042,2075.5055428571427,1896.640991971035,2246.472617182229,1717.7764410849268,2417.4396915073144
2017-000002178 Silver Standard Resources Inc-f1-02636395_1-1-1,2016-12-31,PFS,2094.389,2075.5055428571427,1912.5754455670265,2269.7660541969917,1738.036024467386,2452.4172417273167
2017-000005029 Darnley Bay Resources Limited-f1-02636784_2-1-1,2017-04-18,PEA,2204.62,2075.5055428571427,1928.5098991630177,2293.059491211755,1758.2956078498455,2487.394791947319
2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,2072.3428,2110.333514285714,1928.5098991630177,2293.0594912117544,1758.2956078498455,2487.394791947319
2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,2072.3428,2110.333514285714,1928.5098991630177,2293.0594912117544,1758.2956078498455,2487.394791947319
