report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000024893 Victory Nickel Inc-f1-01128347_2-1-1,2006-11-24,PEA,1697.5574,2012.771979192852,1897.1398968139385,2454.888197589476,1667.5822787107406,2783.0788802618154
2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007-11-09,PEA,2204.62,2188.1748714878468,1897.1398968139385,2454.888197589476,1667.5822787107406,2783.0788802618154
2008-000024219 Zincore Metals Inc-f1-01282276_3-1-1,2008-06-09,PFS,2711.6826,2188.1748714878468,1915.9491192403996,2469.6597884934295,1690.3442058618757,2797.7655443679355
2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,2403.0358,2117.6683375000002,1895.6409045777457,2433.8136390866725,1678.7219819085296,2755.0674509263827
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,1763.696,2072.19805,1875.0217060134382,2397.5714400574634,1666.822262026876,2711.921730114927
2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,2204.62,2072.19805,1875.021706013438,2397.5714400574634,1666.8222620268762,2711.9217301149274
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,1940.0656,2070.8201625,1912.6274394972133,2371.0480984968153,1726.5324946194264,2643.3738126186313
2011a-000005272 Jayden Resources Inc-f1-01707238_1-1-1,2011-03-04,PEA,1983.0,2108.0231249999997,1928.2471092895348,2361.404201087466,1748.47109357907,2614.785277174932
2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,2094.389,2108.0231249999997,1928.2471092895348,2361.404201087466,1748.47109357907,2614.785277174932
2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,2204.62,2108.0231249999997,1928.2471092895348,2361.404201087466,1748.47109357907,2614.785277174932
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1984.158,2108.0231249999997,1930.4395944341725,2356.187175629474,1751.8226482433447,2603.3178106339483
2011b-000024219 Zincore Metals Inc-f1-01826319_1-1-1,2011-09-01,PEA,2094.389,2112.1567875,1943.640853856402,2428.2643360334837,1761.6181420878038,2730.8651064419673
2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,2689.6364,2141.237175,1946.125134304027,2471.2014514890166,1765.1726279830536,2815.325262353033
2011b-000013503 Bear Creek Mining Corporation-f1-01843253_1-1-1,2011-12-22,FS,1873.927,2141.237175,1946.125134304027,2471.2014514890166,1765.1726279830536,2815.3252623530325
2012-000004927 LEVON RESOURCES LTD-f1-01871272_1-1-1,2012-03-12,PEA,2006.2042,2113.6794250000003,1947.6622991242766,2512.9902977511106,1767.866298248553,2898.522295502221
2012-000005760 Sunridge Gold Corp-f1-01923758_4-1-1,2012-05-01,PFS,2182.5738,2113.6794250000003,1947.6622991242766,2512.9902977511106,1767.866298248553,2898.522295502221
2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,1873.927,2204.62,2019.3240177960452,2618.5956270678334,1839.5395855920906,3038.0828041356663
2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013-01-17,FS,2204.62,2204.62,2019.3240177960452,2618.5956270678334,1839.5395855920906,3038.0828041356663
2013-000005760 Sunridge Gold Corp-f1-02080601_3-1-1,2013-05-16,FS,2204.62,2193.5968999999996,2018.1916274477196,2617.1271790188193,1838.5080142079394,3036.379117350139
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,2072.3428,2193.5968999999996,2017.059237099394,2615.6587309698057,1837.4764428237884,3034.675430564612
2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013-08-06,PFS,2998.2832,2199.6871627499995,2017.059237099394,2615.6587309698057,1837.4764428237884,3034.675430564612
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,2094.389,2199.6871627499995,1947.3418624942356,2571.7993631958775,1711.2418558634715,2960.1568572667557
2014-000003827 Wildcat Silver Corporation-f1-02155649_1-1-1,2014-01-17,PFS,2028.2504,2167.1965755,1878.696443322655,2527.2105755034563,1590.1963111453101,2887.224575506913
2014-000010711 DNI Metals Inc-f1-02155474_1-1-1,2014-01-17,PEA,2072.3428,2167.1965755,1878.696443322655,2527.2105755034563,1590.1963111453101,2887.224575506913
2014-000004588 Continental Precious Minerals Inc-f1-02168893_1-1-1,2014-02-06,PEA,2006.2042,2167.1965755,1878.696443322655,2527.2105755034563,1590.1963111453101,2887.224575506913
2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2014-03-03,PEA,2037.509804,2167.1965755,1886.4327176977422,2533.0037360872966,1605.668859895484,2898.810896674593
2014-000011649 InZinc Mining Ltd-f1-02204980_1-1-1,2014-03-17,PEA,2204.62,2167.1965755,1886.4327176977422,2533.0037360872966,1605.668859895484,2898.810896674593
2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,1895.9732,2167.1965755,1886.4327176977422,2533.0037360872966,1605.668859895484,2898.810896674593
2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,1358.213379720229,2238.0022974650283,1872.5505514161127,2582.137337499474,1480.1811766084543,2899.3547487751766
2016-000018190 Chesapeake Gold Corp-f1-02451974_1-2-1,2016-04-29,PFS,2204.62,2238.0022974650283,1872.5505514161127,2582.137337499474,1480.1811766084543,2899.3547487751766
2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,2226.6662,2238.0022974650283,1872.5505514161127,2582.137337499474,1480.1811766084543,2899.3547487751766
2017-000002178 Silver Standard Resources Inc-f1-02636395_1-1-1,2016-12-31,PFS,2204.62,2345.6728125,1911.5816604138502,2642.2476684731037,1487.1845433364433,2948.51655945495
2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,2358.9434,2380.12,1941.151111915616,2666.0451942534787,1507.6937738312322,2957.4819385069577
2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,2358.9434,2380.12,1941.151111915616,2666.0451942534787,1507.6937738312322,2957.4819385069577
2017-000037111 Desert Star Resources Ltd-f1-02654496_1-1-1,2017-06-15,PFS,2425.082,2380.12,1941.151111915616,2666.0451942534787,1507.6937738312322,2957.4819385069577
2017-000043521 VM Holding S.A-f1-02677003_1-3-2,2017-07-25,PEA,2766.93,2358.0738,1932.1401514679023,2653.669224320088,1500.6949529358044,2943.753098640176
2018-000043280 Steppe Gold Ltd-f1-02689951_1-27-1,2017-09-06,FS,1944.0,2336.0276000000003,1932.1401514679023,2653.669224320088,1500.6949529358044,2943.753098640176
