date,gold_price,gold_price_3y,gold_price_5y,gold_price_quarterly,gold_price_price_floor,gold_price_floor_spot_3y,gold_price_floor_spot_5y
2006-01-01,569.8,414.34444444444443,367.14166666666665,525.5333333333333,367.14166666666665,414.34444444444443,367.14166666666665
2006-02-01,556.5,420.1458333333333,372.0,546.4333333333333,372.0,420.1458333333333,372.0
2006-03-01,584.0,427.05277777777775,377.41583333333335,570.1,377.41583333333335,427.05277777777775,377.41583333333335
2006-04-01,638.25,435.4486111111111,383.6625,592.9166666666666,383.6625,435.4486111111111,383.6625
2006-05-01,654.0,443.45416666666665,390.1275,625.4166666666666,390.1275,443.45416666666665,390.1275
2006-06-01,600.4,450.5444444444444,395.6358333333333,630.8833333333333,395.6358333333333,450.5444444444444,395.6358333333333
2006-07-01,637.0,458.3569444444444,401.82666666666665,630.4666666666667,401.82666666666665,458.3569444444444,401.82666666666665
2006-08-01,621.75,465.3222222222222,407.6,619.7166666666667,407.6,465.3222222222222,407.6
2006-09-01,601.75,471.3569444444444,412.78166666666664,620.1666666666666,412.78166666666664,471.3569444444444,412.78166666666664
2006-10-01,600.9,477.3652777777778,418.1141666666666,608.1333333333333,418.1141666666666,477.3652777777778,418.1141666666666
2006-11-01,638.4,484.0402777777777,424.1758333333334,613.6833333333334,424.1758333333334,484.0402777777777,424.1758333333334
2006-12-01,635.7,490.1083333333333,430.1625,625.0,430.1625,490.1083333333333,430.1625
2007-01-01,645.75,496.89861111111105,436.23333333333335,639.9499999999999,436.23333333333335,496.89861111111105,436.23333333333335
2007-02-01,677.0,504.8083333333333,442.5741666666666,652.8166666666666,442.5741666666666,504.8083333333333,442.5741666666666
2007-03-01,663.5,511.4888888888888,448.5824999999999,662.0833333333334,448.5824999999999,511.4888888888888,448.5824999999999
2007-04-01,678.0,519.5638888888889,454.72666666666663,672.8333333333334,454.72666666666663,519.5638888888889,454.72666666666663
2007-05-01,656.6,526.8625000000001,460.21583333333336,666.0333333333334,460.21583333333336,526.8625000000001,460.21583333333336
2007-06-01,648.5,533.938888888889,465.7066666666667,661.0333333333333,465.7066666666667,533.938888888889,465.7066666666667
2007-07-01,666.75,541.6375,471.7275,657.2833333333333,471.7275,541.6375,471.7275
2007-08-01,668.0,548.8569444444445,477.65416666666664,661.0833333333334,477.65416666666664,548.8569444444445,477.65416666666664
2007-09-01,737.75,557.8958333333334,484.5766666666667,690.8333333333334,484.5766666666667,557.8958333333334,484.5766666666667
2007-10-01,783.0,567.8069444444445,492.3541666666667,729.5833333333334,492.3541666666667,567.8069444444445,492.3541666666667
2007-11-01,794.75,577.3277777777779,500.29583333333335,771.8333333333334,500.29583333333335,577.3277777777779,500.29583333333335
2007-12-01,836.5,588.3972222222224,508.525,804.75,508.525,588.3972222222224,508.525
2008-01-01,923.75,602.2847222222222,517.7483333333333,851.6666666666666,517.7483333333333,602.2847222222222,517.7483333333333
2008-02-01,969.0,617.075,528.1041666666666,909.75,528.1041666666666,617.075,528.1041666666666
2008-03-01,937.25,631.2347222222222,538.1358333333334,943.3333333333334,538.1358333333334,631.2347222222222,538.1358333333334
2008-04-01,867.75,643.3055555555555,546.9983333333333,924.6666666666666,546.9983333333333,643.3055555555555,546.9983333333333
2008-05-01,879.5,656.1555555555556,555.56,894.8333333333334,555.56,656.1555555555556,555.56
2008-06-01,932.75,669.9319444444445,565.3533333333332,893.3333333333334,565.3533333333332,669.9319444444445,565.3533333333332
2008-07-01,912.0,683.4000000000001,574.6241666666666,908.0833333333334,574.6241666666666,683.4000000000001,574.6241666666666
2008-08-01,836.5,694.6083333333333,582.3824999999999,893.75,582.3824999999999,694.6083333333333,582.3824999999999
2008-09-01,897.0,706.375,590.9241666666666,881.8333333333334,590.9241666666666,706.375,590.9241666666666
2008-10-01,728.5,713.4819444444445,596.6558333333334,820.6666666666666,596.6558333333334,713.4819444444445,596.6558333333334
2008-11-01,813.5,722.3625000000001,603.5791666666667,813.0,603.5791666666667,722.3625000000001,603.5791666666667
2008-12-01,865.0,732.1402777777779,611.0416666666666,802.3333333333334,611.0416666666666,732.1402777777779,611.0416666666666
2009-01-01,918.5,741.8263888888889,619.6616666666666,865.6666666666666,619.6616666666666,741.8263888888889,619.6616666666666
2009-02-01,943.75,752.5833333333334,628.8533333333332,909.0833333333334,628.8533333333332,752.5833333333334,628.8533333333332
2009-03-01,918.5,761.875,637.1116666666666,926.9166666666666,637.1116666666666,761.875,637.1116666666666
2009-04-01,889.0,768.8402777777778,645.4733333333332,917.0833333333334,645.4733333333332,768.8402777777778,645.4733333333332
2009-05-01,972.0,777.6736111111111,655.1091666666666,926.5,655.1091666666666,777.6736111111111,655.1091666666666
2009-06-01,941.0,787.1347222222223,664.2299999999999,934.0,664.2299999999999,787.1347222222223,664.2299999999999
2009-07-01,936.5,795.4541666666668,673.3449999999999,949.8333333333334,673.3449999999999,795.4541666666668,673.3449999999999
2009-08-01,950.75,804.5930555555556,682.3891666666666,942.75,682.3891666666666,804.5930555555556,682.3891666666666
2009-09-01,1001.25,815.6902777777779,692.2041666666667,962.8333333333334,692.2041666666667,815.6902777777779,692.2041666666667
2009-10-01,1044.5,828.0125,702.5091666666666,998.8333333333334,702.5091666666666,828.0125,702.5091666666666
2009-11-01,1172.0,842.8347222222224,714.5091666666666,1072.5833333333333,714.5091666666666,842.8347222222224,714.5091666666666
2009-12-01,1104.0,855.8430555555556,725.6091666666666,1106.8333333333333,725.6091666666666,855.8430555555556,725.6091666666666
2010-01-01,1082.75,867.9819444444445,736.5916666666667,1119.5833333333333,736.5916666666667,867.9819444444445,736.5916666666667
2010-02-01,1112.5,880.0791666666668,747.8575,1099.75,747.8575,880.0791666666668,747.8575
2010-03-01,1109.5,892.4680555555556,759.2241666666666,1101.5833333333333,759.2241666666666,892.4680555555556,759.2241666666666
2010-04-01,1175.25,906.2805555555556,771.5916666666667,1132.4166666666667,771.5916666666667,906.2805555555556,771.5916666666667
2010-05-01,1214.0,921.7638888888889,784.8766666666667,1166.25,784.8766666666667,921.7638888888889,784.8766666666667
2010-06-01,1240.5,938.2083333333334,798.2716666666666,1209.9166666666667,798.2716666666666,938.2083333333334,798.2716666666666
2010-07-01,1168.0,952.1319444444445,810.6191666666666,1207.5,810.6191666666666,952.1319444444445,810.6191666666666
2010-08-01,1233.5,967.8402777777778,823.9608333333332,1214.0,823.9608333333332,967.8402777777778,823.9608333333332
2010-09-01,1311.0,983.7638888888889,837.9208333333333,1237.5,837.9208333333333,983.7638888888889,837.9208333333333
2010-10-01,1336.75,999.1458333333334,852.3225,1293.75,852.3225,999.1458333333334,852.3225
2010-11-01,1375.0,1015.2638888888889,867.0091666666666,1340.9166666666667,867.0091666666666,1015.2638888888889,867.0091666666666
2010-12-01,1410.25,1031.201388888889,881.9633333333333,1374.0,881.9633333333333,1031.201388888889,881.9633333333333
2011-01-01,1333.5,1042.5833333333333,894.6916666666667,1372.9166666666667,894.6916666666667,1042.5833333333333,894.6916666666667
2011-02-01,1409.75,1054.826388888889,908.9125,1384.5,908.9125,1054.826388888889,908.9125
2011-03-01,1431.0,1068.5416666666667,923.0291666666667,1391.4166666666667,923.0291666666667,1068.5416666666667,923.0291666666667
2011-04-01,1531.0,1086.9652777777778,937.9083333333333,1457.25,937.9083333333333,1086.9652777777778,937.9083333333333
2011-05-01,1537.0,1105.2291666666667,952.625,1499.6666666666667,952.625,1105.2291666666667,952.625
2011-06-01,1508.0,1121.2083333333333,967.7516666666667,1525.3333333333333,967.7516666666667,1121.2083333333333,967.7516666666667
2011-07-01,1613.75,1140.701388888889,984.0308333333334,1552.9166666666667,984.0308333333334,1140.701388888889,984.0308333333334
2011-08-01,1826.0,1168.1875,1004.1016666666667,1649.25,1004.1016666666667,1168.1875,1004.1016666666667
2011-09-01,1629.0,1188.5208333333333,1021.2225,1689.5833333333333,1021.2225,1188.5208333333333,1021.2225
2011-10-01,1718.0,1216.0069444444443,1039.8408333333332,1724.3333333333333,1039.8408333333332,1216.0069444444443,1039.8408333333332
2011-11-01,1704.0,1240.7430555555557,1057.6008333333332,1683.6666666666667,1057.6008333333332,1240.7430555555557,1057.6008333333332
2011-12-01,1574.5,1260.451388888889,1073.2475,1665.5,1073.2475,1260.451388888889,1073.2475
2012-01-01,1738.0,1283.2152777777778,1091.4516666666666,1672.1666666666667,1091.4516666666666,1283.2152777777778,1091.4516666666666
2012-02-01,1788.0,1306.6666666666667,1109.9683333333335,1700.1666666666667,1109.9683333333335,1306.6666666666667,1109.9683333333335
2012-03-01,1660.75,1327.2847222222222,1126.5891666666669,1728.9166666666667,1126.5891666666669,1327.2847222222222,1126.5891666666669
2012-04-01,1662.5,1348.7708333333333,1142.9975000000002,1703.75,1142.9975000000002,1348.7708333333333,1142.9975000000002
2012-05-01,1567.5,1365.3125,1158.1791666666666,1630.25,1158.1791666666666,1365.3125,1158.1791666666666
2012-06-01,1569.5,1382.7708333333333,1173.5291666666667,1599.8333333333333,1173.5291666666667,1382.7708333333333,1173.5291666666667
2012-07-01,1622.75,1401.8333333333333,1189.4625,1586.5833333333333,1189.4625,1401.8333333333333,1189.4625
2012-08-01,1657.75,1421.4722222222222,1205.9583333333333,1616.6666666666667,1205.9583333333333,1421.4722222222222,1205.9583333333333
2012-09-01,1781.0,1443.1319444444443,1223.3458333333333,1687.1666666666667,1223.3458333333333,1443.1319444444443,1223.3458333333333
2012-10-01,1718.0,1461.8402777777778,1238.9291666666666,1718.9166666666667,1238.9291666666666,1461.8402777777778,1238.9291666666666
2012-11-01,1728.25,1477.2916666666667,1254.4875,1742.4166666666667,1254.4875,1477.2916666666667,1254.4875
2012-12-01,1664.0,1492.8472222222222,1268.2791666666667,1703.4166666666667,1268.2791666666667,1492.8472222222222,1268.2791666666667
2013-01-01,1674.5,1509.2847222222222,1280.7916666666667,1688.9166666666667,1280.7916666666667,1509.2847222222222,1280.7916666666667
